Index,Artist,Title,Mood,Link
ML30,Gene Watson,Got No Reason Now For Goin' Home,relaxed,https://genius.com/Gene-Watson-Got-No-Reason-Now-For-Goin-Home-lyrics
ML31,George Strait,El Rey,sad,https://genius.com/George-Strait-El-Rey-lyrics
ML32,Playing For Change,Don't Worry,relaxed,https://genius.com/Playing-For-Change-Dont-Worry-lyrics
ML33,The Rolling Stones,Melody,relaxed,https://genius.com/The-Rolling-Stones-Melody-lyrics
ML34,Stars,Fixed,sad,https://genius.com/Stars-Fixed-lyrics
ML35,Glasser,Home,relaxed,https://genius.com/Glasser-Home-lyrics
ML36,Betty Wright,Where Is The Love,happy,https://genius.com/Betty-Wright-Where-Is-The-Love-lyrics
ML37,Mavis Staples,You Are Not Alone,angry,https://genius.com/Mavis-Staples-You-Are-Not-Alone-lyrics
ML38,The Rolling Stones,Not Fade Away,happy,https://genius.com/The-Rolling-Stones-Not-Fade-Away-lyrics
ML39,The Beach Boys,God Only Knows,happy,https://genius.com/The-Beach-Boys-God-Only-Knows-lyrics
ML40,Korn,Blind,sad,https://genius.com/Korn-Blind-lyrics
ML41,Megadeth,Angry Again,angry,https://genius.com/Megadeth-Angry-Again-lyrics
ML42,Ra,Do You Call My Name,angry,https://genius.com/Ra-Do-You-Call-My-Name-lyrics
ML43,Avenged Sevenfold,Nightmare,angry,https://genius.com/Avenged-Sevenfold-Nightmare-lyrics
ML44,Mudvayne,Scream With Me,angry,https://genius.com/Mudvayne-Scream-With-Me-lyrics
ML45,Static-X,Dirthouse,sad,https://genius.com/Static-X-Dirthouse-lyrics
ML46,Metallica,Cyanide,sad,https://genius.com/Metallica-Cyanide-lyrics
ML47,Green Day,Longview,sad,https://genius.com/Green-Day-Longview-lyrics
ML48,Nirvana,Rape Me,angry,https://genius.com/Nirvana-Rape-Me-lyrics
ML49,Marilyn Manson,Sweet Dreams ,angry,http://www.songlyrics.com/marilyn-manson/Sweet-Dreams-lyrics
ML50,Staind,Mudshovel,angry,https://genius.com/Staind-Mudshovel-lyrics
ML51,Pantera,This Love,happy,https://genius.com/Pantera-This-Love-lyrics
ML52,Chevelle,Send The Pain Below,angry,https://genius.com/Chevelle-Send-The-Pain-Below-lyrics
ML53,Red Hot Chili Peppers,Scar Tissue,sad,https://genius.com/Red-Hot-Chili-Peppers-Scar-Tissue-lyrics
ML54,Metallica,Harvester Of Sorrow,angry,https://genius.com/Metallica-Harvester-Of-Sorrow-lyrics
ML55,Guns N' Roses,Civil War,angry,https://genius.com/Guns-N-Roses-Civil-War-lyrics
ML56,Shadows Fall,King Of Nothing,angry,https://genius.com/Shadows-Fall-King-Of-Nothing-lyrics
ML57,Comeback Kid,Do Yourself A Favor,sad,https://genius.com/Comeback-Kid-Do-Yourself-A-Favor-lyrics
ML58,Rob Zombie,Superbeast,sad,https://genius.com/Rob-Zombie-Superbeast-lyrics
ML59,Pearl Jam,Why Go,relaxed,https://genius.com/Pearl-Jam-Why-Go-lyrics
ML60,Scorpions,Rock You Like A Hurricane,angry,https://genius.com/Scorpions-Rock-You-Like-A-Hurricane-lyrics
ML61,Nine Inch Nails,Terrible Lie,angry,https://genius.com/Nine-Inch-Nails-Terrible-Lie-lyrics
ML62,Stone Temple Pilots,Wicked Garden,angry,https://genius.com/Stone-Temple-Pilots-Wicked-Garden-lyrics
ML63,Smashing Pumpkins,Bullet With Butterfly Wings,angry,https://genius.com/Smashing-Pumpkins-Bullet-With-Butterfly-Wings-lyrics
ML64,Nirvana,Come As You Are,angry,https://genius.com/Nirvana-Come-As-You-Are-lyrics
ML65,Black Sabbath,War Pigs,angry,https://genius.com/Black-Sabbath-War-Pigs-lyrics
ML66,Korn,Everything I've Known,angry,https://genius.com/Korn-Everything-Ive-Known-lyrics
ML67,Disturbed,Indestructible,angry,https://genius.com/Disturbed-Indestructible-lyrics
ML68,Three Days Grace,Riot,angry,https://genius.com/Three-Days-Grace-Riot-lyrics
ML69,Dierks Bentley,Free And Easy (Down The Road I Go),relaxed,https://genius.com/Dierks-Bentley-Free-And-Easy-Down-The-Road-I-Go-lyrics
ML70,Kenny Chesney,When The Sun Goes Down ,relaxed,https://genius.com/Kenny-Chesney-When-The-Sun-Goes-Down-lyrics
ML71,Zac Brown Band,Free,relaxed,https://genius.com/Zac-Brown-Band-Free-lyrics
ML72,Frankie Ballard,Tell Me You Get Lonely,sad,https://genius.com/Frankie-Ballard-Tell-Me-You-Get-Lonely-lyrics
ML73,Faith Hill,The Way You Love Me,happy,https://genius.com/Faith-Hill-The-Way-You-Love-Me-lyrics
ML74,Blake Shelton,Home,relaxed,https://genius.com/Blake-Shelton-Home-lyrics
ML75,Josh Turner,Your Man,relaxed,https://genius.com/Josh-Turner-Your-Man-lyrics
ML76,Alice Cooper,Welcome To My Nightmare,angry,https://genius.com/Alice-Cooper-Welcome-To-My-Nightmare-lyrics
ML77,Led Zeppelin,Rock And Roll,sad,https://genius.com/Led-Zeppelin-Rock-And-Roll-lyrics
ML78,Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry,https://genius.com/Joan-Jett-and-The-Blackhearts-I-Hate-Myself-For-Loving-You-lyrics
ML79,Jonny Lang,Lie To Me,angry,https://genius.com/Jonny-Lang-Lie-To-Me-lyrics
ML80,The Doors,Love Her Madly,happy,https://genius.com/The-Doors-Love-Her-Madly-lyrics
ML81,Eric Clapton,Cocaine,angry,https://genius.com/Eric-Clapton-Cocaine-lyrics
ML82,Robert Cray,Smoking Gun,angry,https://genius.com/Robert-Cray-Smoking-Gun-lyrics
ML83,Jefferson Airplane,Somebody To Love,happy,https://genius.com/Jefferson-Airplane-Somebody-To-Love-lyrics
ML84,Supertramp,Bloody Well Right,angry,https://genius.com/Supertramp-Bloody-Well-Right-lyrics
ML85,Ted Nugent,Cat Scratch Fever,sad,https://genius.com/Ted-Nugent-Cat-Scratch-Fever-lyrics
ML86,Alice Cooper,No More Mr. Nice Guy,sad,https://genius.com/Alice-Cooper-No-More-Mr-Nice-Guy-lyrics
ML87,Neil Young,Heart Of Gold,happy,https://genius.com/Neil-Young-Heart-Of-Gold-lyrics
ML88,Boston,Let Me Take You Home Tonight,relaxed,https://genius.com/Boston-Let-Me-Take-You-Home-Tonight-lyrics
ML89,Scorpions,Still Loving You,happy,https://genius.com/Scorpions-Still-Loving-You-lyrics
ML90,The Doors,Light My Fire,angry,https://genius.com/The-Doors-Light-My-Fire-lyrics
ML91,Night Ranger,Don't Tell Me You Love Me,happy,https://genius.com/Night-Ranger-Dont-Tell-Me-You-Love-Me-lyrics
ML92,Lynyrd Skynyrd,That Smell,sad,https://genius.com/Lynyrd-Skynyrd-That-Smell-lyrics
ML93,Pat Benatar,Hit Me With Your Best Shot,angry,https://genius.com/Pat-Benatar-Hit-Me-With-Your-Best-Shot-lyrics
ML94,Guns N' Roses,Paradise City,relaxed,https://genius.com/Guns-N-Roses-Paradise-City-lyrics
ML95,Yes,I've Seen All Good People,relaxed,https://genius.com/Yes-Ive-Seen-All-Good-People-lyrics
ML96,Motley Crue,Home Sweet Home,relaxed,https://genius.com/Motley-Crue-Home-Sweet-Home-lyrics
ML97,Lynyrd Skynyrd,You Got That Right,angry,https://genius.com/Lynyrd-Skynyrd-You-Got-That-Right-lyrics
ML98,Bad Company,Feel Like Makin' Love,happy,https://genius.com/Bad-Company-Feel-Like-Makin-Love-lyrics
ML99,Jethro Tull,Locomotive Breath,sad,https://genius.com/Jethro-Tull-Locomotive-Breath-lyrics
ML100,Bad Company,Can't Get Enough,happy,https://genius.com/Bad-Company-Cant-Get-Enough-lyrics
ML101,The Who,Love Reign O'er Me,relaxed,https://genius.com/The-Who-Love-Reign-Oer-Me-lyrics
ML102,Billy Squier,In The Dark,sad,https://genius.com/Billy-Squier-In-The-Dark-lyrics
ML103,Pink Floyd,One Of These Days,sad,https://genius.com/Pink-Floyd-One-Of-These-Days-lyrics
ML104,Van Halen,Runnin' With The Devil,angry,https://genius.com/Van-Halen-Runnin-With-The-Devil-lyrics
ML105,David Bowie,Fame,happy,https://genius.com/David-Bowie-Fame-lyrics
ML106,Three Plus,Undercover Lover,relaxed,https://genius.com/Three-Plus-Undercover-Lover-lyrics
ML107,Three Plus,Honey Baby,relaxed,https://genius.com/Three-Plus-Honey-Baby-lyrics
ML108,Three Plus,Two Person Party,relaxed,https://genius.com/Three-Plus-Two-Person-Party-lyrics
ML109,Bob Marley & The Wailers,Easy Skanking,relaxed,https://genius.com/Bob-Marley-and-The-Wailers-Easy-Skanking-lyrics
ML110,Gregory Isaacs,Private Beach Party,happy,https://genius.com/Gregory-Isaacs-Private-Beach-Party-lyrics
ML111,Fiji,Anything You Want,relaxed,https://genius.com/Fiji-Anything-You-Want-lyrics
ML112,Ooklah The Moc,Hell Fire,angry,https://genius.com/Ooklah-The-Moc-Hell-Fire-lyrics
ML113,Shaggy,Angel ,relaxed,https://genius.com/Shaggy-Angel-lyrics
ML114,Sean Paul,I'm Still In Love With You ,happy,https://genius.com/Sean-Paul-Im-Still-In-Love-With-You-lyrics
ML115,The Beach Boys,Good Vibrations,relaxed,https://genius.com/The-Beach-Boys-Good-Vibrations-lyrics
ML116,Orleans,Still The One,happy,https://genius.com/Orleans-Still-The-One-lyrics
ML117,The Babys,Every Time I Think Of You,happy,https://genius.com/The-Babys-Every-Time-I-Think-Of-You-lyrics
ML118,R.E.M.,The One I Love,angry,https://genius.com/REM-The-One-I-Love-lyrics
ML119,The Cure,Lovesong,happy,https://genius.com/The-Cure-Lovesong-lyrics
ML120,Annie Lennox,Walking On Broken Glass,sad,https://genius.com/Annie-Lennox-Walking-On-Broken-Glass-lyrics
ML121,Soft Cell,Tainted Love,happy,https://genius.com/Soft-Cell-Tainted-Love-lyrics
ML122,Lenny Kravitz,Again,happy,https://genius.com/Lenny-Kravitz-Again-lyrics
ML123,Cyndi Lauper,Time After Time,sad,https://genius.com/Cyndi-Lauper-Time-After-Time-lyrics
ML124,Falco,Rock Me Amadeus,angry,https://genius.com/Falco-Rock-Me-Amadeus-lyrics
ML125,The Fixx,Saved By Zero,happy,https://genius.com/The-Fixx-Saved-By-Zero-lyrics
ML126,Gino Vannelli,Living Inside Myself,angry,https://genius.com/Gino-Vannelli-Living-Inside-Myself-lyrics
ML127,Aretha Franklin,Respect,relaxed,https://genius.com/Aretha-Franklin-Respect-lyrics
ML128,Melissa Etheridge,I'm The Only One,angry,https://genius.com/Melissa-Etheridge-Im-The-Only-One-lyrics
ML129,Fleetwood Mac,Go Your Own Way,sad,https://genius.com/Fleetwood-Mac-Go-Your-Own-Way-lyrics
ML130,Andy Kim,Rock Me Gently,relaxed,https://genius.com/Andy-Kim-Rock-Me-Gently-lyrics
ML131,The Bee Gees,Lonely Days,sad,https://genius.com/The-Bee-Gees-Lonely-Days-lyrics
ML132,Rod Stewart,Passion,happy,https://genius.com/Rod-Stewart-Passion-lyrics
ML133,U2,Pride ,happy,https://genius.com/U2-Pride-lyrics
ML134,Janet Jackson,Nasty,sad,https://genius.com/Janet-Jackson-Nasty-lyrics
ML135,Howard Jones,What Is Love?,happy,https://genius.com/Howard-Jones-What-Is-Love-lyrics
ML136,Sheryl Crow,A Change Would Do You Good,relaxed,https://genius.com/Sheryl-Crow-A-Change-Would-Do-You-Good-lyrics
ML137,Thompson Twins,King For A Day,happy,https://genius.com/Thompson-Twins-King-For-A-Day-lyrics
ML138,.38 Special,Second Chance,happy,https://genius.com/38-Special-Second-Chance-lyrics
ML139,Depeche Mode,Strangelove,angry,https://genius.com/Depeche-Mode-Strangelove-lyrics
ML140,Kajagoogoo,Too Shy,sad,https://genius.com/Kajagoogoo-Too-Shy-lyrics
ML141,The Flying Lizards,Money ,happy,http://www.songlyrics.com/the-flying-lizards/Money-lyrics
ML142,Kenny Loggins,Danger Zone,angry,https://genius.com/Kenny-Loggins-Danger-Zone-lyrics
ML143,Eddie Money,Think I'm In Love,happy,https://genius.com/Eddie-Money-Think-Im-In-Love-lyrics
ML144,Donna Summer,Bad Girls,sad,https://genius.com/Donna-Summer-Bad-Girls-lyrics
ML145,John Mellencamp,Authority Song,angry,https://genius.com/John-Mellencamp-Authority-Song-lyrics
ML146,Aerosmith,Janie's Got A Gun,angry,https://genius.com/Aerosmith-Janies-Got-A-Gun-lyrics
ML147,The Motels,Only The Lonely,sad,https://genius.com/The-Motels-Only-The-Lonely-lyrics
ML148,Edwin Starr,War,angry,https://genius.com/Edwin-Starr-War-lyrics
ML149,Tesla,Love Song,happy,https://genius.com/Tesla-Love-Song-lyrics
ML150,Andrew Gold,Lonely Boy,sad,https://genius.com/Andrew-Gold-Lonely-Boy-lyrics
ML151,Madonna,Angel,relaxed,https://genius.com/Madonna-Angel-lyrics
ML152,Duran Duran,I Don't Want Your Love,happy,https://genius.com/Duran-Duran-I-Dont-Want-Your-Love-lyrics
ML153,Alias,More Than Words Can Say,relaxed,http://www.songlyrics.com/alias/More-Than-Words-Can-Say-lyrics
ML154,Mr. Mister,Is It Love,happy,https://genius.com/Mr-Mister-Is-It-Love-lyrics
ML155,Right Said Fred,I'm Too Sexy,happy,https://genius.com/Right-Said-Fred-Im-Too-Sexy-lyrics
ML156,John Mellencamp,Lonely Ol' Night,sad,https://genius.com/John-Mellencamp-Lonely-Ol-Night-lyrics
ML157,Kenny Loggins,Whenever I Call You Friend ,happy,https://genius.com/Kenny-Loggins-Whenever-I-Call-You-Friend-lyrics
ML158,The Pointer Sisters,Fire,angry,https://genius.com/The-Pointer-Sisters-Fire-lyrics
ML159,Duran Duran,A View To A Kill,angry,https://genius.com/Duran-Duran-A-View-To-A-Kill-lyrics
ML160,Seals & Crofts,Diamond Girl,relaxed,https://genius.com/Seals-and-Crofts-Diamond-Girl-lyrics
ML161,April Wine,Just Between You And Me,happy,https://genius.com/April-Wine-Just-Between-You-And-Me-lyrics
ML162,Paul McCartney & Wings,My Love,happy,https://genius.com/Paul-McCartney-and-Wings-My-Love-lyrics
ML163,Nelly Furtado,I'm Like A Bird,relaxed,https://genius.com/Nelly-Furtado-Im-Like-A-Bird-lyrics
ML164,The Beatles,Can't Buy Me Love,happy,https://genius.com/The-Beatles-Cant-Buy-Me-Love-lyrics
ML165,Lita Ford,Kiss Me Deadly,happy,https://genius.com/Lita-Ford-Kiss-Me-Deadly-lyrics
ML166,The Trammps,Disco Inferno,angry,https://genius.com/The-Trammps-Disco-Inferno-lyrics
ML167,Killswitch Engage,This Fire Burns,angry,https://genius.com/Killswitch-Engage-This-Fire-Burns-lyrics
ML168,Atreyu,Lip Gloss And Black,angry,https://genius.com/Atreyu-Lip-Gloss-And-Black-lyrics
ML169,Alkaline Trio,Burn,angry,https://genius.com/Alkaline-Trio-Burn-lyrics
ML170,Demon Hunter,Lifewar,angry,https://genius.com/Demon-Hunter-Lifewar-lyrics
ML171,Hot Hot Heat,Bandages,sad,https://genius.com/Hot-Hot-Heat-Bandages-lyrics
ML172,Buzzcocks,Love You More,happy,https://genius.com/Buzzcocks-Love-You-More-lyrics
ML173,Social Distortion,Ring Of Fire,angry,https://genius.com/Social-Distortion-Ring-Of-Fire-lyrics
ML174,Streetlight Manifesto,Sick And Sad,sad,https://genius.com/Streetlight-Manifesto-Sick-And-Sad-lyrics
ML175,Reel Big Fish,The Fire,angry,https://genius.com/Reel-Big-Fish-The-Fire-lyrics
ML176,Limp Bizkit,Take A Look Around,angry,https://genius.com/Limp-Bizkit-Take-A-Look-Around-lyrics
ML177,Rancid,The Bravest Kids,angry,https://genius.com/Rancid-The-Bravest-Kids-lyrics
ML178,The Clash,White Riot,angry,https://genius.com/The-Clash-White-Riot-lyrics
ML179,Me First & The Gimme Gimmes,Over The Rainbow,relaxed,https://genius.com/Me-First-and-The-Gimme-Gimmes-Over-The-Rainbow-lyrics
ML180,The Winans,Uphold Me,happy,https://genius.com/The-Winans-Uphold-Me-lyrics
ML181,Donnie McClurkin,We Fall Down,sad,https://genius.com/Donnie-McClurkin-We-Fall-Down-lyrics
ML182,Tonex,God Has Not 4got,happy,https://genius.com/Tonex-God-Has-Not-4got-lyrics
ML183,Jonathan Nelson,My Name Is Victory ,happy,https://genius.com/Jonathan-Nelson-My-Name-Is-Victory-lyrics
ML184,Tamela Mann,Joy Of The Lord,happy,https://genius.com/Tamela-Mann-Joy-Of-The-Lord-lyrics
ML185,CeCe Winans,Waging War,angry,https://genius.com/CeCe-Winans-Waging-War-lyrics
ML186,Juanita Bynum,Peace,relaxed,https://genius.com/Juanita-Bynum-Peace-lyrics
ML187,Vanessa Bell Armstrong,Desire Of My Heart,happy,https://genius.com/Vanessa-Bell-Armstrong-Desire-Of-My-Heart-lyrics
ML188,B.B. King,The Thrill Is Gone,happy,https://genius.com/BB-King-The-Thrill-Is-Gone-lyrics
ML189,Art Of Noise,Moments In Love,happy,https://genius.com/Art-Of-Noise-Moments-In-Love-lyrics
ML190,Norah Jones,Chasing Pirates,sad,https://genius.com/Norah-Jones-Chasing-Pirates-lyrics
ML191,Sade,Never As Good As The First Time,relaxed,https://genius.com/Sade-Never-As-Good-As-The-First-Time-lyrics
ML192,Chaka Khan,Through The Fire,angry,https://genius.com/Chaka-Khan-Through-The-Fire-lyrics
ML193,Alicia Keys,Fallin',happy,https://genius.com/Alicia-Keys-Fallin-lyrics
ML194,Sade,I Couldn't Love You More,happy,https://genius.com/Sade-I-Couldnt-Love-You-More-lyrics
ML195,Sting,It's Probably Me,angry,https://genius.com/Sting-Its-Probably-Me-lyrics
ML196,Go West,What You Won't Do For Love,happy,https://genius.com/Go-West-What-You-Wont-Do-For-Love-lyrics
ML197,Robin Thicke,Lost Without U,happy,https://genius.com/Robin-Thicke-Lost-Without-U-lyrics
ML198,Sade,No Ordinary Love,happy,https://genius.com/Sade-No-Ordinary-Love-lyrics
ML199,Luther Vandross,Any Love,happy,https://genius.com/Luther-Vandross-Any-Love-lyrics
ML200,Sade,Kiss Of Life,happy,https://genius.com/Sade-Kiss-Of-Life-lyrics
ML201,Jason Mraz,Lucky ,happy,https://genius.com/Jason-Mraz-Lucky-lyrics
ML202,Kenny G,What A Wonderful World ,relaxed,https://genius.com/Kenny-G-What-A-Wonderful-World-lyrics
ML203,Bobby Caldwell,What You Won't Do For Love,happy,https://genius.com/Bobby-Caldwell-What-You-Wont-Do-For-Love-lyrics
ML204,Dave Matthews Band,Crash Into Me,angry,https://genius.com/Dave-Matthews-Band-Crash-Into-Me-lyrics
ML205,Michael Buble,Home,relaxed,https://genius.com/Michael-Buble-Home-lyrics
ML206,Anita Baker,Same Ole Love ,happy,https://genius.com/Anita-Baker-Same-Ole-Love-lyrics
ML207,Enya,Caribbean Blue,relaxed,https://genius.com/Enya-Caribbean-Blue-lyrics
ML208,Natalie Cole,This Will Be,happy,https://genius.com/Natalie-Cole-This-Will-Be-lyrics
ML209,Avenged Sevenfold,Scream,angry,https://genius.com/Avenged-Sevenfold-Scream-lyrics
ML210,Metallica,Holier Than Thou,sad,https://genius.com/Metallica-Holier-Than-Thou-lyrics
ML211,Hail The Villain,Take Back The Fear,angry,https://genius.com/Hail-The-Villain-Take-Back-The-Fear-lyrics
ML212,Sick Puppies,Street Fighter (War),angry,https://genius.com/Sick-Puppies-Street-Fighter-War-lyrics
ML213,Flyleaf,I'm So Sick,sad,https://genius.com/Flyleaf-Im-So-Sick-lyrics
ML214,Nirvana,You Know You're Right,angry,https://genius.com/Nirvana-You-Know-Youre-Right-lyrics
ML215,Three Days Grace,Home,relaxed,https://genius.com/Three-Days-Grace-Home-lyrics
ML216,Three Days Grace,Animal I Have Become,angry,https://genius.com/Three-Days-Grace-Animal-I-Have-Become-lyrics
ML217,Breaking Benjamin,Until The End,angry,https://genius.com/Breaking-Benjamin-Until-The-End-lyrics
ML218,Disturbed,The Game,angry,https://genius.com/Disturbed-The-Game-lyrics
ML219,Metallica,Seek And Destroy,angry,https://genius.com/Metallica-Seek-And-Destroy-lyrics
ML220,Red,Death Of Me,sad,https://genius.com/Red-Death-Of-Me-lyrics
ML221,The Prodigy,Breathe,angry,https://genius.com/The-Prodigy-Breathe-lyrics
ML222,Smashing Pumpkins,Disarm,angry,https://genius.com/Smashing-Pumpkins-Disarm-lyrics
ML223,Soundgarden,Rusty Cage,sad,https://genius.com/Soundgarden-Rusty-Cage-lyrics
ML224,Silverchair,Tomorrow,sad,https://genius.com/Silverchair-Tomorrow-lyrics
ML225,Rage Against The Machine,Bombtrack,angry,https://genius.com/Rage-Against-The-Machine-Bombtrack-lyrics
ML226,Taio Cruz,Dirty Picture ,sad,https://genius.com/Taio-Cruz-Dirty-Picture-lyrics
ML227,Baby Bash,That's How I Go ,relaxed,https://genius.com/Baby-Bash-Thats-How-I-Go-lyrics
ML228,Baby Bash,Cyclone ,angry,https://genius.com/Baby-Bash-Cyclone-lyrics
ML229,Baby Bash,Fantasy Girl ,relaxed,https://genius.com/Baby-Bash-Fantasy-Girl-lyrics
ML230,Ivory Joe Hunter,Since I Met You Baby,happy,https://genius.com/Ivory-Joe-Hunter-Since-I-Met-You-Baby-lyrics
ML231,Whitney Houston,I Will Always Love You,happy,https://genius.com/Whitney-Houston-I-Will-Always-Love-You-lyrics
ML232,Shop Boyz,Party Like A RockStar,happy,https://genius.com/Shop-Boyz-Party-Like-A-RockStar-lyrics
ML233,Lady Gaga,LoveGame,happy,https://genius.com/Lady-Gaga-LoveGame-lyrics
ML234,Mary J. Blige,Real Love,happy,https://genius.com/Mary-J-Blige-Real-Love-lyrics
ML235,Chamillionaire,Ridin ,sad,https://genius.com/Chamillionaire-Ridin-lyrics
ML236,Keith Sweat,Nobody ,happy,https://genius.com/Keith-Sweat-Nobody-lyrics
ML237,Juvenile,Slow Motion ,sad,https://genius.com/Juvenile-Slow-Motion-lyrics
ML238,Mary Wells,What Love Has Joined Together,happy,https://genius.com/Mary-Wells-What-Love-Has-Joined-Together-lyrics
ML239,Fidel Rueda,Me Encantaria,sad,https://genius.com/Fidel-Rueda-Me-Encantaria-lyrics
ML240,Palomo,No Me Conoces Aun,sad,https://genius.com/Palomo-No-Me-Conoces-Aun-lyrics
ML241,Los Pikadientes De Caborca,La Cumbia Del Rio,sad,https://genius.com/Los-Pikadientes-De-Caborca-La-Cumbia-Del-Rio-lyrics
ML242,K-Paz De La Sierra,Volvere,sad,https://genius.com/K-Paz-De-La-Sierra-Volvere-lyrics
ML243,Chalino Sanchez,Cuatro Espadas,sad,https://genius.com/Chalino-Sanchez-Cuatro-Espadas-lyrics
ML244,Banda El Recodo,Pena Tras Pena,sad,https://genius.com/Banda-El-Recodo-Pena-Tras-Pena-lyrics
ML245,Los Cadetes De Linares,Las Tres Tumbas,sad,https://genius.com/Los-Cadetes-De-Linares-Las-Tres-Tumbas-lyrics
ML246,Los Temerarios,Al Otro Lado Del Sol,sad,https://genius.com/Los-Temerarios-Al-Otro-Lado-Del-Sol-lyrics
ML247,Chalino Sanchez,Baraja De Oro ,sad,https://genius.com/Chalino-Sanchez-Baraja-De-Oro-lyrics
ML248,Eric Church,Love Your Love The Most,happy,https://genius.com/Eric-Church-Love-Your-Love-The-Most-lyrics
ML249,Tim McGraw,It's Your Love ,happy,https://genius.com/Tim-McGraw-Its-Your-Love-lyrics
ML250,Temple Of The Dog,Hunger Strike,sad,https://genius.com/Temple-Of-The-Dog-Hunger-Strike-lyrics
ML251,Eric Clapton,Cocaine,angry,https://genius.com/Eric-Clapton-Cocaine-lyrics
ML252,Soul For Real,Candy Rain,relaxed,https://genius.com/Soul-For-Real-Candy-Rain-lyrics
ML253,Tank,Sex Music,happy,https://genius.com/Tank-Sex-Music-lyrics
ML254,Matt Redman,This Is How We Know,happy,https://genius.com/Matt-Redman-This-Is-How-We-Know-lyrics
ML255,Big Daddy Weave,Just The Way I Am,happy,https://genius.com/Big-Daddy-Weave-Just-The-Way-I-Am-lyrics
ML256,Point Of Grace,All The World,relaxed,https://genius.com/Point-Of-Grace-All-The-World-lyrics
ML257,Steven Curtis Chapman,All About Love,happy,https://genius.com/Steven-Curtis-Chapman-All-About-Love-lyrics
ML258,Chris Tomlin,Our God,happy,https://genius.com/Chris-Tomlin-Our-God-lyrics
ML259,Steven Curtis Chapman,Not Home Yet,relaxed,https://genius.com/Steven-Curtis-Chapman-Not-Home-Yet-lyrics
ML260,Digital Underground,Kiss You Back,happy,https://genius.com/Digital-Underground-Kiss-You-Back-lyrics
ML261,Mark Ronson,Bang Bang Bang ,sad,https://genius.com/Mark-Ronson-Bang-Bang-Bang-lyrics
ML262,Sting,I Hung My Head,sad,https://genius.com/Sting-I-Hung-My-Head-lyrics
ML263,Carrie Rodriguez,Big Love,happy,https://genius.com/Carrie-Rodriguez-Big-Love-lyrics
