word,relaxed,angry,happy,sad
alright,58,33,51,17
tonight,165,112,89,66
perfume,9,1,3,1
spray,5,2,1,3
air,35,21,28,34
next,57,28,10,18
finna,2,1,1,1
raise,8,13,3,5
temp,2,1,1,1
room,19,15,25,54
rub,3,5,4,2
touch,88,56,103,35
care,67,59,104,48
stop,38,129,99,76
repay,2,1,3,1
week,7,4,8,7
through,108,256,208,151
workin,3,1,2,11
nine,9,8,4,6
five,20,12,7,9
stayin,2,6,1,1
cute,2,3,3,2
everytime,5,1,23,2
touchin,5,3,2,1
mornin,14,1,8,7
wanna,11,10,5,2
leg,6,9,1,20
till,75,64,63,37
eye,168,200,185,142
roll,42,20,19,38
tryna,5,1,11,49
mm,10,3,8,2
then,110,179,169,107
mma,6,3,16,2
turn,106,210,83,166
over,164,252,137,117
war,5,729,15,5
soldier,3,17,5,11
starin,2,2,1,2
while,60,74,38,34
irreplaceable,2,1,7,1
beauty,19,2,14,3
neck,6,19,1,7
breathe,25,33,11,34
sense,6,34,11,20
wake,40,40,22,55
finish,4,6,2,3
round,65,31,16,43
two,94,52,93,42
matter,50,91,63,23
fact,8,16,8,13
closer,20,18,10,9
three,35,21,23,8
she,878,798,554,452
shawty,7,20,3,3
sweetest,14,8,20,2
dream,449,90,198,64
angel,191,10,68,17
wonderful,61,1,36,4
thanks,8,2,4,5
bless,157,13,17,2
fly,115,33,32,66
drift,11,4,2,4
heaven,133,28,170,5
watch,61,83,18,99
sunlight,5,3,6,1
peak,3,1,2,2
horizon,10,7,2,4
ooh,135,149,250,65
sun,379,30,123,27
shinin,5,1,5,7
send,66,77,41,35
world,278,275,362,65
everybody,32,47,137,34
ay,23,2,9,50
ayay,2,1,1,1
ragga,1,3,1,1
ha,5,49,9,32
fi,20,4,6,1
dread,1,7,1,2
rasta,2,17,2,1
dreadlock,1,8,1,1
divine,3,18,15,5
conception,2,4,1,1
well,167,138,259,147
life,194,363,736,103
livity,1,2,1,1
father,35,8,40,8
history,8,21,3,5
uphold,1,4,13,1
anciency,1,2,1,1
prophecy,1,3,1,1
trust,14,27,28,8
power,6,82,164,4
trinity,1,3,1,1
he,379,537,609,466
majesty,22,3,6,3
yes,98,115,162,46
lineage,1,2,1,1
divinity,1,2,2,1
step,26,38,15,14
serenity,1,4,1,2
self,7,27,8,15
true,104,49,185,33
royalty,1,3,1,1
afraid,5,195,19,6
jah,3,38,5,5
burn,17,707,29,69
fire,8,1277,39,30
reign,11,17,37,2
heat,9,16,8,21
water,30,24,16,12
lift,28,7,42,5
higher,6,92,38,6
clap,1,1,3,2
y,5,4,40,947
judgement,2,6,5,1
standin,6,4,2,4
front,4,11,9,13
line,30,47,19,27
lord,183,129,151,42
ask,49,63,71,39
spend,41,27,43,27
3,24,4,7,7
destruction,1,27,2,5
poverty,1,1,2,1
home,1386,67,76,62
comin,53,34,15,14
eternity,4,1,12,3
break,44,171,153,190
amistad,1,1,7,2
could,232,195,487,194
hold,123,177,196,104
lose,36,321,160,120
fortune,11,1,8,9
homeless,1,1,2,1
street,47,25,31,85
sleepin,3,1,3,1
grand,3,1,5,4
central,1,2,2,3
station,2,2,2,2
year,51,40,183,37
they,360,837,474,530
pass,23,33,21,18
stay,81,50,120,62
young,31,26,70,17
each,75,38,88,33
other,56,69,131,43
old,87,65,98,57
babe,23,28,68,14
should,51,88,189,48
die,24,158,60,127
very,43,23,91,17
cry,88,116,113,88
earth,106,29,29,17
mean,64,89,125,59
people,69,116,279,27
after,24,40,108,95
seri,1,4,1,1
serani,1,3,1,1
everywhere,20,20,71,16
find,188,134,316,188
hypocrites,1,3,1,1
badmind,1,3,1,1
envy,3,3,1,1
backstabbers,1,3,1,1
parasite,1,3,1,2
some,125,161,169,146
somebody,41,64,111,81
from,433,330,437,256
study,1,46,3,3
dem,12,24,2,1
evil,4,190,9,6
feeble,1,9,1,1
fight,13,675,48,20
pause,2,6,3,2
fightin,1,19,2,1
because,57,58,219,37
atmosphere,1,2,2,2
things,14,12,8,5
catch,14,55,16,107
righteous,1,13,4,3
beware,1,10,1,1
chit,1,2,1,1
chat,2,3,1,1
clear,22,26,24,7
envious,1,2,1,1
flare,1,3,1,2
help,36,78,52,68
fear,6,212,62,17
another,90,95,103,98
choose,11,24,16,5
ripper,1,2,1,1
fassy,1,2,1,1
plan,11,16,21,15
battle,2,62,7,6
almighty,1,2,13,1
mi,16,2,6,363
don,1,3,2,1
conscience,1,8,1,1
free,285,49,130,30
wrong,42,69,76,70
music,61,30,68,21
write,40,12,42,29
sing,144,42,306,42
song,80,42,248,31
remember,43,37,59,27
genuine,1,2,1,1
fake,3,23,4,17
judge,2,6,1,14
embrace,8,18,6,3
such,34,30,35,32
disgrace,1,5,2,1
habit,2,3,2,6
separate,1,4,7,3
moan,4,3,3,7
feeding,1,4,1,2
bone,12,27,3,39
or,106,187,122,106
grow,63,60,54,31
command,1,10,2,3
nobody,30,110,83,87
show,67,87,167,66
morning,84,51,100,48
rest,23,21,27,13
evening,11,10,12,6
debt,1,11,3,1
leave,144,172,166,161
adore,5,5,29,3
must,64,75,86,43
speak,22,60,24,27
word,114,55,113,65
grace,12,20,22,4
spellwork,1,9,1,1
delight,13,7,1,1
desire,4,121,36,1
save,44,45,42,30
soul,70,87,104,50
yesterday,2,12,22,6
hurt,12,196,80,62
worse,3,9,11,6
align,1,3,1,1
ready,8,60,46,67
waste,14,24,13,138
limb,7,4,1,8
pore,1,3,1,1
wide,13,15,15,5
open,39,40,72,54
bleed,3,33,5,18
potion,1,3,1,2
lie,37,333,56,65
serves,1,1,3,1
bring,167,105,164,48
game,16,60,80,7
those,61,54,58,21
lonely,25,20,48,679
cold,30,93,32,90
start,62,121,92,54
quiver,1,4,3,1
keep,207,123,328,131
push,7,43,17,25
aside,4,8,13,1
think,307,239,368,189
realize,20,10,37,16
seem,75,53,82,60
buy,9,13,91,8
fit,9,12,9,15
glove,4,5,3,7
tight,57,29,25,15
just,634,585,808,454
forget,36,51,54,50
mine,68,33,121,44
who,128,175,286,99
menace,2,1,1,1
society,3,6,3,2
hahaha,2,1,2,1
biggin,2,1,1,1
di,3,1,5,17
ghetto,27,2,2,1
lady,36,10,41,8
bruk,2,1,1,1
gwan,4,1,1,1
along,39,17,25,41
gimme,27,14,26,26
gyal,25,1,3,1
wickedest,8,1,1,1
slam,17,8,3,1
kinda,13,4,15,5
weh,12,1,2,1
waan,9,1,1,1
medal,8,1,1,3
haffi,11,1,1,1
pedal,3,3,2,1
wheel,4,10,11,16
banana,3,1,1,1
peel,3,1,2,4
maxfield,3,1,1,1
girlfriend,5,5,4,3
nah,15,3,1,3
whole,37,45,67,30
heap,3,1,1,1
hide,14,92,37,47
junglist,3,1,1,1
pon,4,3,1,1
side,35,46,70,30
wife,10,15,10,3
bow,4,12,15,104
inna,2,17,1,1
nuh,2,5,3,1
wrinkle,2,1,1,1
screw,2,6,1,5
seaview,2,1,1,1
run,63,206,78,113
uptown,10,4,2,4
brown,9,3,4,1
pretty,147,19,103,17
pearl,8,2,2,3
mama,42,19,9,9
coulda,2,1,1,1
earl,2,1,1,1
unuh,2,1,1,1
proud,7,2,22,2
although,6,5,10,6
might,37,66,67,31
loud,5,21,29,14
road,60,32,15,30
move,63,87,65,69
crowd,2,4,6,4
ghet,2,1,1,1
pastor,1,3,2,1
church,5,18,4,3
folk,13,2,6,4
friend,75,94,155,33
listen,42,35,53,18
god,178,119,685,21
mercy,9,15,20,14
favor,3,15,3,7
deserve,7,22,14,8
why,168,235,245,94
testimony,1,1,3,2
hour,6,11,9,23
sinner,1,4,5,10
floor,14,54,15,22
second,13,19,20,14
chance,19,51,99,21
rescue,6,5,69,4
enemy,2,27,8,7
bottom,5,1,53,11
top,24,37,24,6
lend,2,4,4,3
overcome,3,7,4,1
use,64,72,80,41
paralyze,1,4,3,2
test,1,16,15,8
best,47,41,70,21
gon,18,6,16,3
ye,2,7,8,3
ah,81,97,81,32
buh,19,1,1,1
school,14,7,9,22
learn,49,46,37,19
before,56,111,167,55
e,3,8,34,19
except,11,4,2,7
c,31,1,2,4
plus,3,2,2,6
four,19,11,20,13
teach,33,22,7,13
yourself,73,41,102,83
seat,8,2,2,22
b,28,3,7,13
easy,329,16,23,18
1,30,10,8,7
2,32,6,8,23
simple,31,13,24,6
re,18,1,3,1
little,336,139,289,77
bit,15,11,13,10
reading,3,1,3,1
arithmetic,3,1,1,1
branch,5,1,1,2
tree,124,8,24,29
root,4,6,3,2
education,4,2,1,1
complete,7,12,24,10
ttt,3,1,2,1
teacher,26,3,2,5
nyah,9,1,1,1
spell,6,9,16,6
add,9,5,2,3
count,33,22,16,10
melody,37,5,14,1
shake,72,35,55,52
ooo,10,2,9,2
huh,9,7,30,21
darkness,17,29,25,39
shine,82,26,77,14
meet,44,13,56,28
paradise,83,5,19,9
boy,137,86,131,71
wonder,45,18,101,35
treasure,5,3,14,1
steal,11,17,6,30
lay,28,49,34,16
close,52,34,52,36
gonna,5,23,33,8
more,295,252,448,171
tenderness,4,1,9,1
sweet,196,59,97,39
caress,1,2,8,7
reach,30,36,27,20
fantasy,88,5,6,2
beat,22,63,44,22
ecstasy,3,3,3,2
warm,28,20,31,12
shadow,4,16,4,36
gray,2,2,3,9
gotta,26,29,48,12
arm,67,32,73,56
rain,75,37,39,111
prayin,2,4,3,5
flyin,6,1,5,1
high,96,36,38,42
deny,2,25,9,10
money,55,32,158,8
dreamin,17,6,8,3
smile,77,45,108,25
worthwhile,1,3,8,1
slightest,2,2,5,3
storm,23,22,19,7
rise,62,69,33,22
wind,37,18,18,34
blow,19,33,24,33
worry,20,2,23,24
new,109,93,211,52
treat,40,11,47,5
tenderly,2,1,12,1
darling,72,13,74,14
most,41,14,24,6
heavenly,100,7,21,2
hug,3,4,16,2
squeeze,3,2,11,2
tease,2,1,16,1
mess,15,5,4,12
dirty,2,11,7,221
hell,7,110,10,81
preacher,2,4,2,2
preach,1,6,1,2
confess,3,1,11,3
sin,12,39,10,386
repent,1,1,1,4
jesus,30,33,81,7
weary,7,2,3,7
wear,23,13,24,12
sad,6,23,21,228
glad,25,3,64,10
against,23,32,32,13
forgive,2,8,11,5
question,5,10,22,9
serve,3,8,9,6
inside,44,157,89,94
may,110,63,81,27
discourage,2,1,3,2
throw,8,34,32,48
towel,1,1,2,4
glory,35,19,142,2
honor,1,8,13,1
dominion,1,1,2,1
forever,39,43,193,24
omnipotent,1,1,2,1
reineth,1,1,2,1
greater,3,6,59,3
sovereign,1,1,2,2
great,11,8,40,18
worthy,2,1,16,1
stand,62,118,92,37
reverence,1,3,2,1
presence,3,4,5,3
jehovah,1,1,4,1
too,127,141,298,181
lover,58,26,47,20
ours,16,7,14,2
near,27,23,91,13
star,63,24,107,19
dark,23,67,13,71
sky,233,38,61,31
try,104,182,182,121
explain,5,7,21,14
happen,18,13,43,14
suddenly,4,5,4,2
battlefield,2,29,2,1
smallest,1,2,1,1
tear,41,61,57,85
shield,1,12,2,2
both,23,38,30,14
tie,7,31,5,18
behind,39,38,30,50
climb,6,7,14,7
fast,24,19,12,17
swallow,3,9,6,8
pride,7,35,30,5
neither,1,8,1,2
flag,1,6,2,6
surrender,14,11,12,1
guess,26,18,30,27
armor,1,10,2,2
pretend,10,20,26,17
ohh,9,18,36,5
fair,9,7,6,4
cherry,11,10,1,1
bomb,2,99,1,2
ago,3,5,20,8
spirit,27,23,38,2
bar,6,8,7,8
brush,1,3,1,2
tooth,5,12,1,7
sleeve,2,9,3,1
longest,1,5,1,1
n,37,21,46,22
drive,16,81,30,23
dress,14,21,3,14
gown,1,2,4,2
pay,22,67,14,25
heavy,13,18,3,16
weighted,2,1,1,1
mmmmmm,6,2,1,1
peace,204,21,14,7
surpass,2,2,1,1
understanding,4,7,2,1
supass,2,1,1,1
4,3,2,14,14
minwordserror,24,17,27,14
maxwordserror,24,17,27,14
cheeeek,24,17,27,14
sayin,12,5,10,2
playa,2,5,1,3
number,12,11,2,9
dial,3,1,1,3
sex,5,6,88,3
gettin,9,25,10,11
straight,14,21,9,5
crib,8,1,1,1
whip,5,9,2,4
shakin,9,4,4,2
chick,14,30,3,3
knee,21,30,31,34
ai,50,28,37,27
lovin,15,8,69,5
wifin,2,1,1,1
spendin,2,1,1,1
committed,3,2,8,2
damn,12,20,7,31
hat,7,2,5,5
nigga,3,9,3,57
truth,51,44,40,9
nothin,33,11,7,9
said,22,15,33,6
where,252,134,238,134
wave,10,5,9,22
goodbye,24,17,38,22
forgetful,1,1,1,2
backward,4,8,1,4
parade,1,2,1,2
stuck,6,10,1,7
block,3,5,4,22
shade,18,3,4,5
sweep,1,3,2,5
pillow,22,2,2,6
flowers,7,3,1,3
sick,7,28,8,279
dead,3,124,12,143
slow,40,20,8,249
stone,25,20,7,30
hospital,2,7,2,3
funeral,3,12,1,26
fog,2,1,1,2
sigh,17,2,10,7
disguise,8,9,5,5
anymore,7,34,45,18
above,56,26,82,19
piece,7,29,6,52
puzzle,1,1,1,4
tide,1,7,8,4
sink,10,7,2,13
blink,3,2,1,5
many,25,57,50,35
everyone,29,37,31,15
door,80,34,42,68
someone,50,83,234,54
unconditional,1,2,2,1
vamp,3,1,3,1
lovely,18,5,21,18
appeal,1,2,2,1
steppin,1,2,18,1
dancin,2,2,5,3
begin,27,52,35,23
romancin,1,1,2,1
thrilling,1,1,2,1
willing,2,3,5,2
dance,40,76,94,11
increase,5,3,5,1
romance,6,1,17,15
stronger,7,13,42,4
longer,5,16,12,5
small,4,3,10,18
whoa,12,46,89,44
hole,6,6,3,35
dig,8,19,10,11
beggin,1,4,5,2
everbody,1,1,1,2
talk,52,30,63,49
crawlin,2,1,1,2
mud,3,3,4,4
pig,28,4,1,11
nowhere,16,29,18,41
lot,29,13,36,18
misery,1,32,4,9
blood,14,68,34,53
lotta,6,2,16,3
low,17,19,18,41
greed,2,7,2,5
oooooh,1,10,1,1
threat,1,17,1,2
ning,1,4,1,1
shelter,2,15,4,1
fade,12,21,15,20
child,103,64,65,31
shot,2,88,6,16
sweeping,1,5,1,1
red,51,51,17,19
coal,1,8,1,5
carpet,2,4,1,2
mad,2,104,7,12
bull,1,7,1,2
rape,1,49,1,2
murder,2,31,3,15
mmm,20,9,17,4
flood,1,15,7,2
sister,13,8,12,7
dollar,7,7,15,4
past,10,18,20,28
sunset,30,1,4,1
pants,1,1,3,5
happy,64,23,620,7
candy,93,3,10,3
stranger,14,35,45,13
papa,3,6,3,9
boss,1,11,2,2
flash,5,6,2,4
cocktail,1,1,2,1
flesh,3,13,14,10
off,75,56,38,69
lear,3,1,2,1
jet,2,3,2,1
last,74,73,79,72
detroit,6,1,1,1
cottonfield,2,1,1,1
mother,60,44,70,11
dear,30,17,68,27
brother,45,32,15,7
homefolks,2,1,1,1
letter,18,3,9,15
fine,43,9,30,29
car,15,11,21,14
read,28,23,15,12
between,12,23,35,13
rode,2,1,1,5
freight,4,5,1,1
train,18,23,6,18
north,7,4,2,5
wastin,2,3,1,1
foolish,11,3,7,4
southbound,2,2,1,1
ride,29,42,30,51
waitin,5,7,5,6
far,135,65,71,65
reason,42,53,36,27
goin,100,27,13,36
though,38,31,91,37
ought,19,1,10,12
once,54,57,103,29
evry,8,5,5,1
makin,9,7,58,7
sittin,7,1,1,8
athinkin,3,1,1,1
missin,3,3,1,1
hurtin,7,1,5,1
drinkin,6,4,3,2
hard,74,77,102,71
knowin,4,1,2,1
hatin,3,1,1,1
yo,5,26,13,352
se,3,1,11,242
bien,1,1,3,36
que,3,1,5,1397
estoy,2,1,3,77
afuera,1,1,1,12
pero,3,1,3,160
el,1,1,1,723
día,1,1,1,54
muera,1,1,1,10
tendrás,1,1,1,4
llorar,1,1,1,43
dirc,1,1,1,4
quisiste,1,1,1,7
vas,1,1,1,42
estar,1,1,1,47
muy,1,1,1,37
triste,1,1,1,22
í,1,1,1,10
quedar,1,1,1,10
con,2,4,3,246
dinero,1,1,1,27
hago,1,1,1,15
siempre,1,1,1,87
lo,3,2,1,215
quiero,2,1,2,151
palabra,1,1,1,26
es,1,5,2,458
la,171,45,88,701
ley,1,1,1,12
tengo,1,1,1,55
trono,1,1,1,11
ni,1,1,2,144
reyna,1,1,1,3
nadie,1,1,1,90
comprenca,1,1,1,3
sigo,1,1,1,36
siendo,1,1,1,14
rey,1,1,1,22
enseñó,1,1,1,4
destino,1,1,1,20
era,1,3,1,23
rodar,1,1,1,18
despue,1,1,1,3
dijo,1,1,1,7
un,1,2,9,382
arriero,1,1,1,6
hay,4,1,2,172
llegar,1,1,1,20
primero,1,1,1,14
saber,1,2,1,31
vibration,21,1,1,1
follow,14,37,16,17
rhythm,14,18,3,3
voice,23,39,24,36
emotion,5,3,20,5
fulfill,6,1,3,2
butterfly,26,2,4,4
sensation,3,1,2,5
x,3,3,8,5
quarter,3,11,1,3
bang,4,29,1,119
key,24,9,10,12
alive,7,67,68,15
dancing,10,13,28,24
drank,3,1,1,11
cash,3,7,13,3
fix,3,17,18,11
mustard,2,1,2,1
ham,2,2,1,3
crash,3,42,2,8
bathroom,2,1,1,5
trailer,2,1,1,1
sunday,16,1,6,5
boot,3,7,4,4
nose,2,2,3,7
trail,2,3,1,6
surprise,8,10,6,5
pleasure,8,13,15,1
roast,2,1,1,1
win,12,119,90,7
fisticuffs,1,1,1,3
head,118,117,47,108
cut,5,25,5,104
statistic,1,2,1,2
collect,1,1,1,2
hunger,2,4,6,3
wall,12,43,16,33
float,4,3,4,12
fault,3,6,2,65
bury,2,11,2,33
killer,1,75,1,6
kill,8,123,22,51
fate,7,31,23,12
cloud,62,16,9,17
dust,4,10,3,23
raining,3,1,1,3
phantom,3,1,1,3
naturally,2,1,1,1
collaps,2,1,1,1
wedding,5,1,1,1
oooohooohoohoooohoohoohoooo,1,1,2,1
nohoo,1,1,2,1
brigde,1,1,2,1
baheeyby,1,1,2,1
hoow,1,1,2,1
lohohooove,1,1,2,1
primising,1,1,2,1
ohooow,1,1,3,1
eheeey,1,1,2,1
wooohooo,1,1,2,1
saiaiaiad,1,1,2,1
yeaheeeey,1,1,2,1
sung,1,3,5,2
isolate,1,4,1,3
raid,1,6,1,1
tastes,3,2,1,1
bigger,1,7,4,1
cadillac,1,1,2,12
doubt,14,17,21,13
still,95,149,262,103
brain,6,36,17,24
kind,208,31,77,19
pain,10,461,41,55
blind,12,27,29,166
escape,4,37,4,15
deeper,1,5,12,25
journey,4,3,3,6
reality,26,6,5,6
inner,1,3,1,7
esteem,1,1,1,3
deep,30,40,67,34
ground,16,38,27,36
jonathan,1,1,1,3
davis,1,1,1,3
amp,21,18,38,14
inspect,1,2,1,1
reflect,2,3,3,1
lip,26,34,43,32
mask,1,8,1,4
rip,6,13,3,26
seek,4,37,5,6
ear,4,7,23,8
noise,3,8,4,16
greatest,2,4,8,1
ease,7,21,2,3
rave,1,4,2,1
impossibility,1,2,1,1
engaged,1,2,1,1
crime,6,16,5,16
grasp,1,2,1,3
throat,1,8,2,5
enrage,1,4,1,1
smoke,4,35,1,9
enforce,1,3,1,2
mental,1,5,1,4
overload,1,4,1,3
angry,1,42,3,3
story,12,14,35,18
twist,3,25,5,14
fold,4,2,2,1
contortionist,1,2,1,1
slight,1,2,1,1
quick,1,26,3,4
exchange,1,2,2,1
trick,6,11,2,9
rearrange,4,6,2,2
sear,1,2,1,1
sinew,1,2,1,1
tissue,3,2,1,5
lung,2,8,3,9
gravity,1,3,1,1
pull,7,31,16,30
steam,1,3,1,34
finally,22,20,13,7
dissipate,1,2,1,2
sweaty,1,2,1,1
association,1,2,1,1
inevitably,1,2,1,1
governed,1,2,1,1
set,90,91,69,20
fracture,1,2,1,4
jaw,1,3,2,5
cardboard,1,2,1,1
condo,1,2,1,1
maze,1,2,1,8
fill,14,32,94,17
insubordinate,1,2,1,1
race,13,28,5,5
irrational,1,2,1,1
youth,7,30,4,3
stare,7,11,9,22
rubber,1,3,5,3
hose,1,2,1,2
create,2,7,4,4
bolt,1,4,2,2
cage,2,30,2,17
lock,7,21,9,19
hate,11,437,17,27
maybe,59,58,80,31
full,12,45,27,27
scenario,1,4,1,1
stain,1,8,4,4
blurry,1,4,1,1
breed,1,6,2,4
bloody,2,39,1,4
risk,1,16,10,4
insanity,1,3,1,2
venture,1,2,1,1
gain,2,10,2,5
beg,7,22,14,14
helpless,4,5,3,3
rage,4,55,2,4
nightmare,13,80,1,4
drag,5,9,1,7
below,11,37,3,18
devil,8,69,6,22
guest,2,3,3,1
acquaintance,1,3,1,1
sever,1,5,1,4
smell,4,8,5,33
ink,3,3,1,4
slave,3,31,3,10
until,29,55,64,14
madness,2,24,3,11
haunt,3,10,7,9
yearn,3,12,10,1
trigger,1,11,1,3
price,7,22,5,11
sweat,5,11,4,5
yet,20,16,17,17
demon,2,44,2,2
beyond,21,15,14,21
sight,25,20,25,8
nerve,2,8,2,3
sedate,1,3,1,1
medicate,1,12,1,2
slowly,20,18,9,12
insane,2,63,4,9
intention,1,5,5,3
complication,3,3,2,1
tragic,1,8,2,3
fail,11,32,10,8
drench,1,6,1,2
respect,63,14,3,4
hit,4,85,17,28
crawl,3,17,3,13
replaceable,1,3,1,1
liar,3,29,1,4
choice,6,21,9,5
grant,3,4,5,5
store,10,10,17,2
shove,1,4,2,4
slipping,2,6,2,2
corner,15,19,5,23
scream,8,111,6,23
empty,3,26,9,22
closet,1,10,1,2
driven,1,10,1,3
grave,1,20,2,12
eulogy,1,3,1,1
buyer,1,3,1,1
beside,18,11,15,11
barrel,1,6,2,1
gauge,1,3,1,1
forgiveness,1,6,5,2
dirthouse,1,1,1,3
box,8,3,2,4
wander,1,2,2,4
skin,13,27,31,29
dirt,5,5,9,25
dog,40,9,5,18
curl,5,2,1,3
ball,5,8,12,9
freezing,2,1,1,2
ass,4,16,5,21
pick,15,16,23,69
own,61,53,70,82
pushing,1,2,2,6
scares,1,1,1,2
burnt,1,4,1,2
death,3,131,6,143
brings,2,5,1,2
final,2,26,2,26
bliss,2,4,7,10
suicide,1,11,1,9
already,15,19,31,33
cyanide,1,1,1,4
shell,1,7,5,5
forevermore,5,2,2,6
patiently,2,4,4,3
wing,24,17,2,22
unfolding,1,1,1,3
spread,11,20,9,12
oer,3,1,5,2
concrete,2,1,1,7
weep,4,7,8,10
shed,2,2,5,9
strife,1,4,2,2
freshly,1,1,1,2
laid,8,4,7,18
upon,32,27,40,38
which,9,23,22,6
o,19,12,50,22
tube,1,2,1,5
channel,1,7,1,3
twiddle,1,1,1,3
thumb,3,3,4,3
unlocked,1,1,3,3
fuckin,1,5,1,3
lazy,5,2,1,23
bite,4,4,6,15
bored,1,1,1,48
velcro,1,1,1,3
barr,1,1,1,3
indoors,1,2,2,3
summer,15,4,18,49
cell,2,7,1,13
motivation,1,3,1,7
inspiration,1,1,7,4
phone,11,10,7,18
pathetic,1,2,1,3
job,9,12,4,3
masturbation,1,1,1,5
its,14,21,23,26
fun,16,26,127,11
