Index,Actual Valence,Predicted Valence
ML151,positive,positive
ML152,positive,positive
ML153,positive,positive
ML154,positive,positive
ML155,positive,positive
ML156,negative,negative
ML157,positive,positive
ML158,negative,negative
ML159,negative,negative
ML160,positive,positive
ML161,positive,positive
ML162,positive,positive
ML163,positive,positive
ML164,positive,positive
ML165,positive,positive
ML166,negative,negative
ML167,negative,negative
ML168,negative,negative
ML169,negative,negative
ML170,negative,negative
ML171,negative,negative
ML172,positive,positive
ML173,negative,negative
ML174,negative,negative
ML175,negative,negative
ML176,negative,negative
ML177,negative,negative
ML178,negative,positive
ML179,positive,positive
ML180,positive,positive
ML181,negative,negative
ML182,positive,positive
ML183,positive,positive
ML184,positive,positive
ML185,negative,negative
ML186,positive,positive
ML187,positive,positive
ML188,positive,positive
ML189,positive,positive
ML190,negative,negative
ML191,positive,positive
ML192,negative,positive
ML193,positive,positive
ML194,positive,positive
ML195,negative,negative
ML196,positive,positive
ML197,positive,positive
ML198,positive,positive
ML199,positive,positive
ML200,positive,positive
ML201,positive,positive
ML202,positive,positive
ML203,positive,positive
ML204,negative,negative
ML205,positive,positive
ML206,positive,positive
ML207,positive,positive
ML208,positive,positive
ML209,negative,negative
ML210,negative,negative
ML211,negative,negative
ML212,negative,negative
ML213,negative,negative
ML214,negative,negative
ML215,positive,positive
ML216,negative,negative
ML217,negative,negative
ML218,negative,negative
ML219,negative,negative
ML220,negative,negative
ML221,negative,negative
ML222,negative,negative
ML223,negative,negative
ML224,negative,negative
ML225,negative,positive
ML226,negative,negative
ML227,positive,positive
ML228,negative,negative
ML229,positive,positive
ML230,positive,positive
ML231,positive,positive
ML232,positive,positive
ML233,positive,positive
ML234,positive,positive
ML235,negative,negative
ML236,positive,positive
ML237,negative,negative
ML238,positive,positive
ML239,negative,negative
ML240,negative,negative
ML241,negative,negative
ML242,negative,negative
ML243,negative,negative
ML244,negative,negative
ML245,negative,negative
ML246,negative,negative
ML247,negative,negative
ML248,positive,positive
ML249,positive,positive
ML250,negative,negative
ML251,negative,negative
ML252,positive,positive
ML253,positive,positive
ML254,positive,positive
ML255,positive,positive
ML256,positive,positive
ML257,positive,positive
ML258,positive,positive
ML259,positive,positive
ML260,positive,positive
ML261,negative,negative
ML262,negative,negative
ML263,positive,positive
ML264,positive,positive
ML265,negative,negative
ML266,negative,negative
ML267,positive,positive
ML268,positive,positive
ML269,positive,positive
ML270,positive,positive
ML271,positive,positive
ML272,negative,negative
ML273,positive,positive
ML274,negative,negative
ML275,positive,positive
ML276,positive,positive
ML277,positive,positive
ML278,positive,positive
ML279,positive,positive
ML280,positive,positive
ML281,positive,positive
ML282,positive,positive
ML283,positive,positive
ML284,negative,negative
ML285,negative,negative
ML286,negative,negative
ML287,negative,negative
ML288,negative,negative
ML289,negative,negative
ML290,negative,negative
ML291,negative,negative
ML292,negative,negative
ML293,negative,negative
ML294,negative,negative
ML295,negative,negative
ML296,negative,negative
ML297,negative,negative
ML298,negative,negative
ML299,negative,negative
ML300,negative,negative
ML301,negative,negative
ML302,negative,negative
ML303,negative,negative
ML304,negative,negative
ML305,negative,negative
ML306,positive,positive
ML307,positive,positive
ML308,positive,positive
ML309,positive,positive
ML310,positive,positive
ML311,positive,positive
ML312,negative,negative
ML313,negative,negative
ML314,negative,negative
ML315,negative,negative
ML316,positive,positive
ML317,positive,positive
ML318,negative,negative
ML319,negative,negative
ML320,positive,positive
ML321,positive,positive
ML322,positive,positive
ML323,negative,negative
ML324,positive,positive
ML325,negative,positive
ML326,positive,positive
ML327,positive,positive
ML328,positive,positive
ML329,positive,positive
ML330,positive,positive
ML331,negative,negative
ML332,positive,positive
ML333,positive,positive
ML334,negative,negative
ML335,positive,positive
ML336,positive,positive
ML337,positive,positive
ML338,positive,positive
ML339,negative,negative
ML340,positive,positive
ML341,positive,positive
ML342,negative,negative
ML343,negative,negative
ML344,positive,positive
ML345,positive,positive
ML346,positive,positive
ML347,positive,positive
ML348,positive,positive
ML349,positive,positive
ML350,positive,positive
ML351,positive,positive
ML352,positive,positive
ML353,positive,positive
ML354,positive,positive
ML355,positive,positive
ML356,negative,negative
ML357,positive,positive
ML358,positive,positive
ML359,positive,positive
ML360,positive,positive
ML361,positive,positive
ML362,positive,positive
ML363,positive,positive
ML364,negative,negative
ML365,negative,negative
ML366,positive,positive
ML367,positive,positive
ML368,positive,positive
ML369,negative,negative
ML370,positive,positive
ML371,negative,negative
ML372,positive,positive
ML373,negative,negative
ML374,positive,positive
ML375,negative,negative
ML376,positive,positive
ML377,positive,positive
ML378,negative,negative
ML379,negative,negative
ML380,negative,negative
ML381,negative,negative
ML382,negative,negative
ML383,negative,negative
ML384,negative,negative
ML385,negative,negative
ML386,negative,negative
ML387,negative,negative
ML388,negative,negative
ML389,negative,negative
ML390,positive,positive
ML391,negative,negative
ML392,positive,positive
ML393,negative,negative
ML394,negative,negative
ML395,negative,negative
ML396,positive,positive
ML397,negative,negative
ML398,positive,positive
ML399,negative,negative
ML400,positive,positive
ML401,positive,positive
ML402,positive,positive
ML403,positive,positive
ML404,positive,positive
ML405,positive,positive
ML406,positive,positive
ML407,negative,negative
ML408,negative,negative
ML409,negative,positive
ML410,positive,positive
ML411,positive,positive
ML412,positive,positive
ML413,positive,positive
ML414,positive,positive
ML415,positive,positive
ML416,negative,negative
ML417,positive,positive
ML418,negative,negative
ML419,negative,negative
ML420,positive,positive
ML421,positive,positive
ML422,negative,negative
ML423,positive,positive
ML424,negative,negative
ML425,positive,positive
ML426,positive,positive
ML427,positive,positive
ML428,positive,positive
ML429,positive,positive
ML430,negative,negative
ML431,negative,negative
ML432,negative,negative
ML433,negative,negative
ML434,positive,positive
ML435,negative,negative
ML436,negative,negative
ML437,positive,positive
ML438,positive,positive
ML439,positive,positive
ML440,positive,positive
ML441,positive,positive
ML442,positive,positive
ML443,positive,positive
ML444,positive,positive
ML445,positive,positive
ML446,positive,positive
ML447,positive,positive
ML448,positive,positive
ML449,positive,positive
ML450,positive,positive
ML451,positive,positive
ML452,negative,negative
ML453,positive,positive
ML454,positive,positive
ML455,positive,positive
ML456,positive,positive
ML457,positive,positive
ML458,negative,negative
ML459,positive,positive
ML460,positive,positive
ML461,positive,positive
ML462,positive,positive
ML463,positive,positive
ML464,positive,positive
ML465,negative,negative
ML466,positive,positive
ML467,positive,positive
ML468,negative,negative
ML469,negative,negative
ML470,positive,positive
ML471,negative,negative
ML472,negative,negative
ML473,negative,negative
ML474,negative,negative
ML475,negative,negative
ML476,positive,positive
ML477,negative,negative
ML478,positive,positive
ML479,positive,positive
ML480,positive,positive
ML481,negative,negative
ML482,positive,positive
ML483,positive,positive
ML484,positive,positive
ML485,positive,positive
ML486,negative,negative
ML487,positive,positive
ML488,negative,negative
ML489,positive,positive
ML490,positive,positive
ML491,positive,positive
ML492,positive,positive
ML493,negative,positive
ML494,positive,positive
ML495,positive,positive
ML496,positive,positive
ML497,negative,negative
ML498,positive,positive
ML499,positive,positive
ML500,negative,negative
ML501,negative,negative
ML502,negative,negative
ML503,positive,positive
ML504,positive,positive
ML505,positive,positive
ML506,negative,negative
ML507,positive,positive
ML508,negative,negative
ML509,positive,positive
ML510,positive,positive
ML511,positive,positive
ML512,positive,positive
ML513,positive,positive
ML514,positive,positive
ML515,positive,positive
ML516,negative,negative
ML517,negative,negative
ML518,negative,negative
ML519,negative,negative
ML520,negative,negative
ML521,negative,negative
ML522,negative,negative
ML523,negative,negative
ML524,negative,negative
ML525,negative,negative
ML526,negative,negative
ML527,negative,negative
ML528,negative,negative
ML529,negative,negative
ML530,negative,negative
ML531,positive,positive
ML532,positive,positive
ML533,positive,positive
ML534,negative,negative
ML535,positive,positive
ML536,negative,negative
ML537,positive,positive
ML538,positive,positive
ML539,positive,positive
ML540,positive,positive
ML541,positive,positive
ML542,positive,positive
ML543,negative,negative
ML544,positive,positive
ML545,positive,positive
ML546,positive,positive
ML547,positive,positive
ML548,positive,positive
ML549,positive,positive
ML550,positive,positive
ML551,positive,positive
ML552,positive,positive
ML553,positive,positive
ML554,positive,positive
ML555,negative,negative
ML556,positive,positive
ML557,negative,negative
ML558,positive,positive
ML559,positive,positive
ML560,negative,negative
ML561,negative,negative
ML562,negative,negative
ML563,positive,positive
ML564,positive,positive
ML565,negative,negative
ML566,negative,negative
ML567,negative,negative
ML568,positive,positive
ML569,negative,negative
ML570,negative,negative
ML571,negative,positive
ML572,negative,negative
ML573,positive,positive
ML574,negative,negative
ML575,negative,negative
ML576,negative,negative
ML577,positive,positive
ML578,negative,negative
ML579,negative,negative
ML580,negative,negative
ML581,positive,positive
ML582,positive,positive
ML583,positive,positive
ML584,positive,positive
ML585,positive,negative
ML586,positive,positive
ML587,positive,positive
ML588,positive,positive
ML589,positive,positive
ML590,negative,negative
ML591,negative,negative
ML592,negative,negative
ML593,negative,negative
ML594,positive,positive
ML595,negative,negative
ML596,negative,negative
ML597,positive,positive
ML598,positive,positive
ML599,positive,positive
ML600,positive,positive
ML601,positive,positive
ML602,positive,positive
ML603,negative,negative
ML604,negative,negative
ML605,negative,negative
ML606,negative,negative
ML607,negative,negative
ML608,positive,positive
ML609,positive,positive
ML610,positive,positive
ML611,negative,negative
ML612,positive,positive
ML613,positive,positive
ML614,positive,positive
ML615,positive,positive
ML616,negative,negative
ML617,positive,positive
ML618,positive,positive
ML619,positive,positive
ML620,positive,positive
ML621,negative,negative
ML622,positive,positive
ML623,positive,positive
ML624,positive,positive
ML625,positive,positive
ML626,positive,positive
ML627,positive,positive
ML628,positive,positive
ML629,positive,positive
ML630,negative,negative
ML631,positive,positive
ML632,positive,positive
ML633,positive,positive
ML634,positive,positive
ML635,positive,positive
ML636,negative,negative
ML637,negative,negative
ML638,negative,negative
ML639,negative,negative
ML640,negative,negative
ML641,negative,negative
ML642,positive,positive
ML643,positive,positive
ML644,negative,negative
ML645,negative,negative
ML646,negative,negative
ML647,negative,negative
ML648,negative,negative
ML649,negative,negative
ML650,negative,negative
ML651,negative,negative
ML652,negative,negative
ML653,positive,positive
ML654,negative,negative
ML655,negative,negative
ML656,positive,positive
ML657,positive,positive
ML658,positive,positive
ML659,positive,positive
ML660,negative,negative
ML661,positive,positive
ML662,positive,positive
ML663,negative,negative
ML664,negative,negative
ML665,negative,negative
ML666,positive,positive
ML667,negative,negative
ML668,positive,positive
ML669,negative,negative
ML670,positive,positive
ML671,positive,positive
ML672,positive,positive
ML673,negative,negative
ML674,positive,positive
ML675,positive,positive
ML676,positive,positive
ML677,negative,negative
ML678,negative,negative
ML679,positive,positive
ML680,positive,positive
ML681,positive,positive
ML682,positive,positive
ML683,positive,positive
ML684,positive,positive
ML685,negative,negative
ML686,positive,positive
ML687,positive,positive
ML688,negative,negative
ML689,negative,negative
ML690,negative,negative
ML691,positive,positive
ML692,negative,negative
ML693,positive,positive
ML694,negative,negative
ML695,positive,positive
ML696,positive,positive
ML697,negative,negative
ML698,positive,positive
ML699,positive,positive
ML700,negative,negative
ML701,positive,positive
ML702,positive,positive
ML703,negative,negative
ML704,negative,negative
ML705,negative,negative
ML706,negative,negative
ML707,positive,positive
ML708,positive,positive
ML709,positive,positive
ML710,negative,negative
ML711,positive,positive
ML712,negative,negative
ML713,negative,negative
ML714,positive,positive
ML715,negative,negative
ML716,positive,positive
ML717,positive,positive
ML718,positive,positive
ML719,negative,positive
ML720,positive,positive
ML721,positive,positive
ML722,positive,positive
ML723,positive,positive
ML724,positive,positive
ML725,positive,positive
ML726,negative,negative
ML727,negative,negative
ML728,negative,negative
ML729,positive,positive
ML730,positive,positive
ML731,positive,positive
ML732,negative,negative
ML733,positive,positive
ML734,positive,positive
ML735,negative,negative
ML736,positive,positive
ML737,negative,negative
ML738,positive,positive
ML739,positive,positive
ML740,positive,positive
ML741,negative,negative
ML742,negative,negative
ML743,negative,negative
ML744,negative,negative
ML745,negative,negative
ML746,negative,negative
ML747,positive,positive
ML748,negative,negative
ML749,positive,positive
ML750,positive,positive
ML751,negative,negative
ML752,positive,positive
ML753,positive,positive
ML754,positive,positive
ML755,negative,negative
ML756,negative,negative
ML757,positive,positive
ML758,negative,negative
ML759,positive,positive
ML760,negative,negative
ML761,positive,positive
ML762,negative,negative
ML763,positive,positive
ML764,positive,positive
ML765,positive,positive
ML766,positive,positive
ML767,positive,positive
ML768,negative,negative
ML769,positive,positive
ML770,negative,negative
ML771,negative,negative
ML772,negative,negative
ML773,negative,negative
ML774,positive,positive
ML775,positive,positive
ML776,positive,positive
ML777,positive,positive
ML778,positive,positive
ML779,positive,positive
ML780,positive,positive
ML781,positive,positive
ML782,positive,positive
ML783,negative,negative
ML784,positive,positive
ML785,negative,negative
ML786,negative,negative
ML787,negative,negative
ML788,negative,negative
ML789,negative,negative
ML790,negative,negative
ML791,negative,negative
ML792,positive,positive
ML793,positive,positive
ML794,positive,positive
ML795,negative,negative
ML796,positive,positive
ML797,positive,positive
ML798,negative,negative
ML799,positive,positive
ML800,positive,positive
ML801,negative,negative
ML802,positive,positive
ML803,negative,negative
ML804,positive,positive
ML805,positive,positive
ML806,positive,positive
ML807,negative,negative
ML808,positive,positive
ML809,positive,positive
ML810,negative,negative
ML811,positive,positive
ML812,positive,positive
ML813,negative,negative
ML814,negative,negative
ML815,positive,positive
ML816,negative,negative
ML817,positive,positive
ML818,negative,negative
ML819,positive,positive
ML820,negative,negative
ML821,negative,negative
ML822,negative,negative
ML823,negative,negative
ML824,negative,negative
ML825,negative,negative
ML826,negative,negative
ML827,positive,positive
ML828,negative,negative
ML829,positive,positive
ML830,positive,positive
ML831,positive,positive
ML832,negative,negative
ML833,negative,negative
ML834,negative,negative
ML835,positive,positive
ML836,positive,positive
ML837,positive,positive
ML838,positive,positive
ML839,positive,positive
ML840,positive,positive
ML841,negative,negative
ML842,positive,positive
ML843,positive,positive
ML844,positive,positive
ML845,negative,positive
ML846,negative,negative
ML847,negative,negative
ML848,positive,positive
ML849,positive,positive
ML850,positive,positive
ML851,positive,positive
ML852,positive,positive
ML853,positive,positive
ML854,negative,negative
ML855,negative,negative
ML856,positive,positive
ML857,positive,positive
ML858,negative,negative
ML859,negative,negative
ML860,negative,negative
ML861,negative,negative
ML862,positive,positive
ML863,negative,negative
ML864,positive,positive
ML865,positive,positive
ML866,positive,positive
ML867,negative,negative
ML868,negative,negative
ML869,negative,negative
ML870,negative,negative
ML871,positive,positive
ML872,negative,negative
ML873,negative,negative
ML874,positive,positive
ML875,positive,positive
ML876,positive,positive
ML877,negative,negative
ML878,negative,negative
ML879,negative,negative
ML880,positive,positive
ML881,negative,negative
ML882,positive,positive
ML883,negative,negative
ML884,positive,positive
ML885,negative,negative
ML886,negative,negative
ML887,negative,negative
ML888,negative,negative
ML889,positive,positive
ML890,positive,positive
ML891,positive,positive
ML892,positive,positive
ML893,negative,negative
ML894,negative,negative
ML895,negative,negative
ML896,negative,negative
ML897,negative,negative
ML898,negative,negative
ML899,negative,negative
ML900,negative,negative
ML901,positive,positive
ML902,negative,negative
ML903,positive,positive
ML904,positive,positive
ML905,negative,negative
ML906,positive,positive
ML907,positive,positive
ML908,positive,positive
ML909,negative,negative
ML910,positive,positive
ML911,positive,positive
ML912,positive,positive
ML913,positive,positive
ML914,positive,positive
ML915,negative,negative
ML916,positive,positive
ML917,positive,positive
ML918,positive,positive
ML919,positive,positive
ML920,positive,positive
ML921,positive,positive
ML922,positive,positive
ML923,negative,negative
ML924,positive,positive
ML925,positive,positive
ML926,positive,positive
ML927,positive,positive
ML928,negative,negative
ML929,positive,positive
ML930,positive,positive
ML931,positive,positive
ML932,negative,negative
ML933,positive,positive
ML934,positive,positive
ML935,positive,positive
ML936,negative,negative
ML937,positive,positive
ML938,positive,positive
ML939,negative,negative
ML940,negative,negative
ML941,negative,negative
ML942,positive,positive
ML943,positive,positive
ML944,positive,positive
ML945,positive,positive
ML946,negative,negative
ML947,positive,positive
ML948,positive,positive
ML949,positive,positive
ML950,negative,negative
ML951,negative,negative
ML952,positive,positive
ML953,positive,positive
ML954,positive,positive
ML955,positive,positive
ML956,positive,positive
ML957,negative,negative
ML958,negative,negative
ML959,negative,negative
ML960,positive,positive
ML961,negative,negative
ML962,negative,negative
ML963,negative,negative
ML964,negative,negative
ML965,positive,positive
ML966,positive,positive
ML967,positive,positive
ML968,positive,positive
ML969,positive,positive
ML970,negative,negative
ML971,positive,positive
ML972,positive,positive
ML973,positive,positive
ML974,positive,positive
ML975,negative,negative
ML976,negative,negative
ML977,positive,positive
ML978,positive,positive
ML979,positive,positive
ML980,negative,negative
ML981,positive,positive
ML982,negative,negative
ML983,negative,negative
ML984,positive,positive
ML985,positive,positive
ML986,negative,negative
ML987,negative,negative
ML988,negative,negative
ML989,negative,negative
ML990,negative,positive
ML991,negative,negative
ML992,negative,negative
ML993,negative,negative
ML994,negative,negative
ML995,negative,negative
ML996,negative,negative
ML997,positive,positive
ML998,negative,negative
ML999,positive,positive
ML1000,negative,positive
ML1001,positive,positive
ML1002,positive,positive
ML1003,positive,positive
ML1004,positive,positive
ML1005,positive,positive
ML1006,positive,positive
ML1007,positive,positive
ML1008,positive,positive
ML1009,positive,positive
ML1010,negative,negative
ML1011,positive,positive
ML1012,negative,negative
ML1013,negative,negative
ML1014,positive,positive
ML1015,positive,positive
ML1016,positive,positive
ML1017,negative,negative
ML1018,negative,negative
ML1019,negative,negative
ML1020,negative,negative
ML1021,negative,negative
ML1022,positive,positive
ML1023,positive,positive
ML1024,positive,positive
ML1025,negative,negative
ML1026,negative,negative
ML1027,positive,positive
ML1028,negative,negative
ML1029,positive,positive
ML1030,negative,negative
ML1031,negative,negative
ML1032,positive,positive
ML1033,positive,positive
ML1034,positive,positive
ML1035,negative,negative
ML1036,positive,positive
ML1037,negative,negative
ML1038,negative,negative
ML1039,negative,negative
ML1040,negative,negative
ML1041,positive,positive
ML1042,positive,positive
ML1043,positive,positive
ML1044,positive,positive
ML1045,positive,positive
ML1046,positive,positive
ML1047,positive,positive
ML1048,positive,positive
ML1049,positive,positive
ML1050,positive,positive
ML1051,positive,positive
ML1052,negative,negative
ML1053,positive,positive
ML1054,negative,negative
ML1055,positive,positive
ML1056,positive,positive
ML1057,positive,positive
ML1058,positive,positive
ML1059,positive,positive
ML1060,positive,positive
ML1061,negative,negative
ML1062,negative,negative
ML1063,positive,positive
ML1064,positive,positive
ML1065,positive,positive
ML1066,negative,negative
ML1067,positive,positive
ML1068,positive,positive
ML1069,negative,positive
ML1070,positive,positive
ML1071,negative,negative
ML1072,positive,positive
ML1073,negative,negative
ML1074,negative,negative
ML1075,negative,negative
ML1076,negative,negative
ML1077,positive,positive
ML1078,negative,negative
ML1079,positive,positive
ML1080,negative,negative
ML1081,positive,positive
ML1082,positive,positive
ML1083,positive,positive
ML1084,negative,negative
ML1085,positive,positive
ML1086,negative,negative
ML1087,negative,negative
ML1088,positive,positive
ML1089,negative,negative
ML1090,positive,positive
ML1091,positive,positive
ML1092,negative,negative
ML1093,negative,negative
ML1094,negative,negative
ML1095,positive,positive
ML1096,negative,negative
ML1097,negative,negative
ML1098,positive,positive
ML1099,negative,negative
ML1100,negative,negative
ML1101,negative,negative
ML1102,negative,negative
ML1103,positive,positive
ML1104,negative,negative
ML1105,negative,negative
ML1106,positive,negative
ML1107,positive,positive
ML1108,positive,positive
ML1109,positive,positive
ML1110,positive,positive
ML1111,negative,negative
ML1112,negative,negative
ML1113,negative,negative
ML1114,negative,negative
ML1115,positive,positive
ML1116,positive,positive
ML1117,negative,negative
ML1118,positive,positive
ML1119,negative,negative
ML1120,negative,negative
ML1121,positive,positive
ML1122,negative,negative
ML1123,negative,negative
ML1124,positive,positive
ML1125,positive,positive
ML1126,negative,negative
ML1127,negative,negative
ML1128,positive,positive
ML1129,negative,negative
ML1130,negative,negative
ML1131,negative,negative
ML1132,positive,positive
ML1133,positive,positive
ML1134,negative,negative
ML1135,positive,positive
ML1136,positive,positive
ML1137,positive,positive
ML1138,positive,positive
ML1139,negative,negative
ML1140,positive,positive
ML1141,positive,positive
ML1142,positive,positive
ML1143,negative,negative
ML1144,negative,negative
ML1145,negative,negative
ML1146,negative,negative
ML1147,negative,negative
ML1148,negative,negative
ML1149,negative,negative
ML1150,positive,positive
ML1151,positive,positive
ML1152,negative,negative
ML1153,positive,positive
ML1154,positive,positive
ML1155,negative,negative
ML1156,positive,positive
ML1157,negative,negative
ML1158,positive,positive
ML1159,negative,negative
ML1160,negative,negative
ML1161,positive,positive
ML1162,positive,positive
ML1163,negative,negative
ML1164,positive,positive
ML1165,negative,positive
ML1166,negative,negative
ML1167,positive,positive
ML1168,negative,negative
ML1169,positive,positive
ML1170,positive,positive
ML1171,positive,positive
ML1172,positive,positive
ML1173,positive,positive
ML1174,positive,positive
ML1175,positive,positive
ML1176,positive,positive
ML1177,positive,positive
ML1178,positive,positive
ML1179,negative,negative
ML1180,positive,positive
ML1181,positive,positive
ML1182,positive,positive
ML1183,positive,positive
ML1184,negative,negative
ML1185,positive,positive
ML1186,negative,negative
ML1187,negative,negative
ML1188,positive,positive
ML1189,negative,negative
ML1190,positive,positive
ML1191,negative,negative
ML1192,negative,negative
ML1193,negative,negative
ML1194,negative,negative
ML1195,positive,positive
ML1196,negative,negative
ML1197,negative,negative
ML1198,negative,negative
ML1199,positive,positive
ML1200,positive,positive
ML1201,negative,negative
ML1202,negative,negative
ML1203,positive,positive
ML1204,positive,positive
ML1205,negative,negative
ML1206,positive,positive
ML1207,positive,positive
ML1208,negative,negative
ML1209,negative,negative
ML1210,positive,positive
ML1211,positive,positive
ML1212,positive,positive
ML1213,negative,negative
ML1214,negative,negative
ML1215,negative,negative
ML1216,positive,positive
ML1217,negative,negative
ML1218,positive,positive
ML1219,positive,positive
ML1220,negative,negative
ML1221,negative,negative
ML1222,negative,negative
ML1223,negative,negative
ML1224,negative,negative
ML1225,positive,positive
ML1226,negative,negative
ML1227,negative,negative
ML1228,positive,positive
ML1229,positive,positive
ML1230,positive,positive
ML1231,positive,positive
ML1232,positive,positive
ML1233,positive,positive
ML1234,positive,positive
ML1235,negative,negative
ML1236,positive,positive
ML1237,positive,positive
ML1238,positive,positive
ML1239,positive,positive
ML1240,positive,positive
ML1241,positive,positive
ML1242,negative,negative
ML1243,negative,negative
ML1244,negative,negative
ML1245,negative,negative
ML1246,negative,negative
ML1247,negative,negative
ML1248,positive,positive
ML1249,negative,negative
ML1250,negative,negative
ML1251,positive,positive
ML1252,negative,negative
ML1253,negative,negative
ML1254,positive,positive
ML1255,negative,negative
ML1256,positive,positive
ML1257,negative,negative
ML1258,positive,positive
ML1259,negative,negative
ML1260,positive,positive
ML1261,positive,positive
ML1262,positive,positive
ML1263,positive,positive
ML1264,positive,positive
ML1265,positive,positive
ML1266,positive,positive
ML1267,negative,negative
ML1268,positive,positive
ML1269,negative,negative
ML1270,positive,positive
ML1271,positive,positive
ML1272,negative,negative
ML1273,negative,negative
ML1274,positive,positive
ML1275,negative,negative
ML1276,positive,positive
ML1277,positive,positive
ML1278,positive,positive
ML1279,negative,negative
ML1280,negative,negative
ML1281,negative,negative
ML1282,negative,negative
ML1283,negative,negative
ML1284,negative,negative
ML1285,positive,positive
ML1286,positive,positive
ML1287,negative,negative
ML1288,negative,negative
ML1289,negative,negative
ML1290,negative,negative
ML1291,positive,positive
ML1292,positive,positive
ML1293,positive,positive
ML1294,negative,negative
ML1295,negative,negative
ML1296,negative,negative
ML1297,positive,positive
ML1298,positive,positive
ML1299,positive,positive
ML1300,positive,positive
ML1301,negative,negative
ML1302,negative,negative
ML1303,negative,negative
ML1304,negative,negative
ML1305,negative,negative
ML1306,negative,negative
ML1307,positive,positive
ML1308,positive,positive
ML1309,negative,positive
ML1310,positive,positive
ML1311,positive,positive
ML1312,positive,positive
ML1313,negative,negative
ML1314,positive,positive
ML1315,negative,negative
ML1316,negative,negative
ML1317,positive,positive
ML1318,positive,positive
ML1319,positive,positive
ML1320,positive,positive
ML1321,negative,negative
ML1322,negative,negative
ML1323,positive,positive
ML1324,positive,positive
ML1325,positive,positive
ML1326,positive,positive
ML1327,positive,positive
ML1328,negative,negative
ML1329,negative,negative
ML1330,negative,negative
ML1331,positive,positive
ML1332,positive,positive
ML1333,positive,positive
ML1334,positive,positive
ML1335,negative,negative
ML1336,negative,negative
ML1337,positive,positive
ML1338,positive,positive
ML1339,negative,negative
ML1340,positive,positive
ML1341,negative,negative
ML1342,negative,negative
ML1343,negative,negative
ML1344,negative,negative
ML1345,positive,positive
ML1346,positive,positive
ML1347,negative,negative
ML1348,negative,negative
ML1349,negative,negative
ML1350,positive,positive
ML1351,positive,positive
ML1352,negative,negative
ML1353,positive,positive
ML1354,positive,positive
ML1355,positive,positive
ML1356,positive,positive
ML1357,positive,positive
ML1358,positive,positive
ML1359,positive,positive
ML1360,positive,positive
