Index,Actual Arousal,Predicted Arousal
ML151,negative,negative
ML152,positive,positive
ML153,negative,negative
ML154,positive,positive
ML155,positive,positive
ML156,negative,negative
ML157,positive,positive
ML158,positive,positive
ML159,positive,positive
ML160,negative,negative
ML161,positive,positive
ML162,positive,positive
ML163,negative,negative
ML164,positive,positive
ML165,positive,positive
ML166,positive,positive
ML167,positive,positive
ML168,positive,positive
ML169,positive,positive
ML170,positive,positive
ML171,negative,negative
ML172,positive,positive
ML173,positive,positive
ML174,negative,negative
ML175,positive,positive
ML176,positive,positive
ML177,positive,positive
ML178,positive,positive
ML179,negative,negative
ML180,positive,positive
ML181,negative,negative
ML182,positive,positive
ML183,positive,positive
ML184,positive,positive
ML185,positive,positive
ML186,negative,negative
ML187,positive,positive
ML188,positive,positive
ML189,positive,positive
ML190,negative,negative
ML191,negative,negative
ML192,positive,positive
ML193,positive,positive
ML194,positive,positive
ML195,positive,positive
ML196,positive,positive
ML197,positive,positive
ML198,positive,positive
ML199,positive,positive
ML200,positive,positive
ML201,positive,positive
ML202,negative,negative
ML203,positive,positive
ML204,positive,positive
ML205,negative,negative
ML206,positive,positive
ML207,negative,negative
ML208,positive,positive
ML209,positive,positive
ML210,negative,negative
ML211,positive,positive
ML212,positive,positive
ML213,negative,negative
ML214,positive,positive
ML215,negative,negative
ML216,positive,positive
ML217,positive,positive
ML218,positive,positive
ML219,positive,positive
ML220,negative,negative
ML221,positive,positive
ML222,positive,positive
ML223,negative,negative
ML224,negative,negative
ML225,positive,positive
ML226,negative,negative
ML227,negative,negative
ML228,positive,positive
ML229,negative,negative
ML230,positive,positive
ML231,positive,positive
ML232,positive,positive
ML233,positive,positive
ML234,positive,positive
ML235,negative,negative
ML236,positive,positive
ML237,negative,negative
ML238,positive,positive
ML239,negative,negative
ML240,negative,negative
ML241,negative,negative
ML242,negative,negative
ML243,negative,negative
ML244,negative,negative
ML245,negative,negative
ML246,negative,negative
ML247,negative,negative
ML248,positive,positive
ML249,positive,positive
ML250,negative,negative
ML251,positive,positive
ML252,negative,negative
ML253,positive,positive
ML254,positive,positive
ML255,positive,positive
ML256,negative,negative
ML257,positive,positive
ML258,positive,positive
ML259,negative,negative
ML260,positive,positive
ML261,negative,negative
ML262,negative,negative
ML263,positive,positive
ML264,negative,negative
ML265,negative,negative
ML266,negative,negative
ML267,negative,negative
ML268,positive,positive
ML269,positive,positive
ML270,positive,positive
ML271,positive,positive
ML272,positive,positive
ML273,negative,negative
ML274,positive,positive
ML275,positive,positive
ML276,positive,positive
ML277,negative,negative
ML278,positive,positive
ML279,positive,positive
ML280,positive,positive
ML281,positive,positive
ML282,negative,negative
ML283,positive,positive
ML284,negative,negative
ML285,negative,negative
ML286,negative,negative
ML287,negative,negative
ML288,negative,negative
ML289,negative,negative
ML290,negative,negative
ML291,negative,negative
ML292,negative,negative
ML293,negative,negative
ML294,negative,negative
ML295,negative,negative
ML296,negative,negative
ML297,negative,negative
ML298,negative,negative
ML299,negative,negative
ML300,negative,negative
ML301,negative,negative
ML302,negative,negative
ML303,negative,negative
ML304,negative,negative
ML305,negative,negative
ML306,positive,positive
ML307,positive,positive
ML308,positive,positive
ML309,positive,positive
ML310,positive,positive
ML311,positive,positive
ML312,positive,positive
ML313,positive,positive
ML314,positive,positive
ML315,negative,negative
ML316,positive,positive
ML317,positive,positive
ML318,positive,positive
ML319,positive,positive
ML320,negative,negative
ML321,positive,positive
ML322,negative,negative
ML323,negative,negative
ML324,positive,positive
ML325,positive,positive
ML326,positive,positive
ML327,positive,positive
ML328,positive,positive
ML329,positive,positive
ML330,positive,positive
ML331,positive,positive
ML332,positive,positive
ML333,positive,positive
ML334,positive,positive
ML335,positive,positive
ML336,negative,negative
ML337,positive,positive
ML338,positive,positive
ML339,positive,positive
ML340,negative,negative
ML341,positive,positive
ML342,positive,positive
ML343,negative,negative
ML344,positive,positive
ML345,positive,positive
ML346,negative,negative
ML347,positive,positive
ML348,negative,negative
ML349,negative,negative
ML350,positive,positive
ML351,positive,positive
ML352,positive,positive
ML353,negative,negative
ML354,positive,positive
ML355,negative,negative
ML356,positive,positive
ML357,positive,positive
ML358,positive,positive
ML359,negative,negative
ML360,negative,negative
ML361,negative,negative
ML362,negative,negative
ML363,negative,negative
ML364,negative,negative
ML365,positive,positive
ML366,negative,negative
ML367,negative,negative
ML368,negative,negative
ML369,negative,negative
ML370,positive,positive
ML371,negative,negative
ML372,positive,positive
ML373,negative,negative
ML374,negative,negative
ML375,positive,positive
ML376,positive,positive
ML377,positive,positive
ML378,negative,negative
ML379,positive,positive
ML380,positive,positive
ML381,negative,negative
ML382,negative,negative
ML383,positive,positive
ML384,negative,negative
ML385,negative,negative
ML386,positive,positive
ML387,positive,positive
ML388,positive,positive
ML389,negative,negative
ML390,positive,positive
ML391,negative,negative
ML392,positive,positive
ML393,negative,negative
ML394,negative,negative
ML395,negative,negative
ML396,negative,negative
ML397,negative,negative
ML398,positive,positive
ML399,positive,positive
ML400,negative,negative
ML401,negative,negative
ML402,positive,positive
ML403,positive,positive
ML404,negative,negative
ML405,positive,positive
ML406,positive,positive
ML407,positive,positive
ML408,negative,negative
ML409,negative,negative
ML410,negative,negative
ML411,positive,positive
ML412,negative,negative
ML413,positive,positive
ML414,positive,positive
ML415,positive,positive
ML416,positive,positive
ML417,negative,negative
ML418,negative,negative
ML419,positive,positive
ML420,negative,negative
ML421,positive,positive
ML422,negative,negative
ML423,negative,negative
ML424,negative,negative
ML425,positive,positive
ML426,positive,positive
ML427,positive,positive
ML428,positive,positive
ML429,positive,positive
ML430,positive,positive
ML431,positive,positive
ML432,negative,negative
ML433,negative,negative
ML434,positive,positive
ML435,positive,positive
ML436,negative,negative
ML437,negative,negative
ML438,negative,negative
ML439,positive,positive
ML440,positive,positive
ML441,positive,positive
ML442,positive,positive
ML443,positive,positive
ML444,positive,positive
ML445,negative,negative
ML446,negative,negative
ML447,negative,negative
ML448,positive,positive
ML449,positive,positive
ML450,positive,positive
ML451,negative,negative
ML452,positive,positive
ML453,positive,positive
ML454,positive,positive
ML455,positive,positive
ML456,negative,negative
ML457,positive,positive
ML458,positive,positive
ML459,negative,negative
ML460,negative,negative
ML461,positive,positive
ML462,positive,positive
ML463,positive,positive
ML464,positive,positive
ML465,negative,negative
ML466,negative,negative
ML467,positive,positive
ML468,negative,negative
ML469,negative,negative
ML470,positive,positive
ML471,positive,positive
ML472,positive,positive
ML473,positive,positive
ML474,positive,positive
ML475,negative,negative
ML476,negative,negative
ML477,negative,negative
ML478,negative,negative
ML479,positive,positive
ML480,negative,negative
ML481,positive,positive
ML482,negative,negative
ML483,positive,positive
ML484,positive,positive
ML485,positive,positive
ML486,positive,positive
ML487,positive,positive
ML488,positive,positive
ML489,negative,negative
ML490,positive,positive
ML491,positive,positive
ML492,positive,positive
ML493,positive,negative
ML494,negative,negative
ML495,negative,negative
ML496,positive,positive
ML497,negative,negative
ML498,positive,positive
ML499,positive,positive
ML500,negative,negative
ML501,negative,negative
ML502,negative,negative
ML503,negative,negative
ML504,positive,positive
ML505,positive,positive
ML506,positive,positive
ML507,positive,positive
ML508,positive,positive
ML509,positive,positive
ML510,positive,positive
ML511,positive,positive
ML512,positive,positive
ML513,positive,positive
ML514,negative,negative
ML515,positive,positive
ML516,positive,positive
ML517,negative,negative
ML518,positive,positive
ML519,negative,negative
ML520,negative,negative
ML521,positive,positive
ML522,positive,positive
ML523,positive,positive
ML524,negative,negative
ML525,negative,negative
ML526,negative,negative
ML527,positive,positive
ML528,negative,negative
ML529,negative,negative
ML530,negative,negative
ML531,negative,negative
ML532,positive,positive
ML533,positive,positive
ML534,positive,positive
ML535,positive,positive
ML536,positive,positive
ML537,negative,negative
ML538,negative,negative
ML539,positive,positive
ML540,negative,negative
ML541,positive,positive
ML542,negative,negative
ML543,negative,negative
ML544,negative,negative
ML545,negative,negative
ML546,positive,positive
ML547,negative,negative
ML548,negative,negative
ML549,negative,negative
ML550,positive,positive
ML551,positive,positive
ML552,positive,positive
ML553,positive,positive
ML554,positive,positive
ML555,negative,negative
ML556,positive,positive
ML557,positive,positive
ML558,negative,negative
ML559,negative,negative
ML560,positive,positive
ML561,negative,negative
ML562,negative,negative
ML563,positive,positive
ML564,negative,negative
ML565,negative,negative
ML566,positive,positive
ML567,positive,positive
ML568,positive,positive
ML569,negative,negative
ML570,negative,negative
ML571,positive,positive
ML572,negative,negative
ML573,negative,negative
ML574,positive,positive
ML575,positive,positive
ML576,negative,negative
ML577,positive,positive
ML578,positive,positive
ML579,positive,positive
ML580,negative,negative
ML581,negative,negative
ML582,negative,negative
ML583,positive,positive
ML584,negative,negative
ML585,positive,negative
ML586,negative,negative
ML587,positive,positive
ML588,negative,negative
ML589,negative,negative
ML590,negative,negative
ML591,negative,negative
ML592,negative,negative
ML593,negative,negative
ML594,negative,negative
ML595,positive,positive
ML596,positive,positive
ML597,positive,positive
ML598,negative,negative
ML599,positive,positive
ML600,positive,positive
ML601,positive,positive
ML602,negative,negative
ML603,negative,negative
ML604,negative,negative
ML605,negative,negative
ML606,negative,negative
ML607,negative,negative
ML608,positive,positive
ML609,negative,negative
ML610,positive,positive
ML611,negative,negative
ML612,negative,negative
ML613,negative,negative
ML614,positive,positive
ML615,negative,negative
ML616,positive,positive
ML617,negative,negative
ML618,positive,positive
ML619,positive,positive
ML620,negative,negative
ML621,positive,positive
ML622,negative,negative
ML623,negative,negative
ML624,negative,negative
ML625,positive,positive
ML626,positive,positive
ML627,positive,positive
ML628,positive,positive
ML629,negative,negative
ML630,positive,positive
ML631,negative,negative
ML632,negative,positive
ML633,positive,positive
ML634,positive,positive
ML635,positive,positive
ML636,positive,positive
ML637,positive,positive
ML638,positive,positive
ML639,positive,positive
ML640,positive,positive
ML641,negative,negative
ML642,negative,negative
ML643,negative,negative
ML644,negative,negative
ML645,positive,positive
ML646,positive,positive
ML647,positive,positive
ML648,positive,positive
ML649,negative,negative
ML650,positive,positive
ML651,negative,negative
ML652,positive,positive
ML653,positive,positive
ML654,positive,positive
ML655,positive,positive
ML656,positive,positive
ML657,positive,positive
ML658,negative,negative
ML659,negative,negative
ML660,positive,positive
ML661,positive,positive
ML662,positive,positive
ML663,positive,positive
ML664,negative,negative
ML665,negative,negative
ML666,negative,negative
ML667,positive,positive
ML668,negative,negative
ML669,positive,positive
ML670,positive,positive
ML671,positive,positive
ML672,positive,positive
ML673,positive,positive
ML674,positive,positive
ML675,positive,positive
ML676,negative,negative
ML677,positive,positive
ML678,negative,negative
ML679,positive,positive
ML680,negative,negative
ML681,negative,negative
ML682,positive,positive
ML683,negative,negative
ML684,positive,positive
ML685,positive,positive
ML686,positive,positive
ML687,negative,negative
ML688,negative,negative
ML689,positive,positive
ML690,positive,positive
ML691,negative,negative
ML692,negative,negative
ML693,positive,positive
ML694,negative,negative
ML695,positive,positive
ML696,positive,positive
ML697,positive,positive
ML698,negative,negative
ML699,positive,positive
ML700,positive,positive
ML701,negative,negative
ML702,positive,positive
ML703,positive,positive
ML704,positive,positive
ML705,positive,positive
ML706,positive,positive
ML707,positive,positive
ML708,negative,negative
ML709,positive,positive
ML710,negative,negative
ML711,negative,negative
ML712,positive,positive
ML713,positive,positive
ML714,positive,positive
ML715,positive,positive
ML716,positive,positive
ML717,negative,negative
ML718,negative,negative
ML719,negative,negative
ML720,negative,negative
ML721,positive,positive
ML722,positive,positive
ML723,negative,negative
ML724,positive,positive
ML725,positive,positive
ML726,negative,negative
ML727,negative,negative
ML728,positive,positive
ML729,positive,positive
ML730,positive,positive
ML731,positive,positive
ML732,negative,negative
ML733,positive,positive
ML734,negative,negative
ML735,negative,negative
ML736,negative,negative
ML737,negative,negative
ML738,negative,negative
ML739,positive,positive
ML740,positive,positive
ML741,positive,positive
ML742,negative,negative
ML743,negative,negative
ML744,negative,negative
ML745,negative,negative
ML746,positive,positive
ML747,positive,positive
ML748,positive,positive
ML749,positive,positive
ML750,negative,negative
ML751,positive,positive
ML752,negative,negative
ML753,negative,negative
ML754,positive,positive
ML755,negative,negative
ML756,positive,positive
ML757,negative,negative
ML758,negative,negative
ML759,negative,negative
ML760,negative,negative
ML761,positive,positive
ML762,negative,negative
ML763,positive,positive
ML764,negative,negative
ML765,negative,negative
ML766,negative,negative
ML767,positive,positive
ML768,positive,positive
ML769,negative,negative
ML770,negative,negative
ML771,positive,positive
ML772,negative,negative
ML773,negative,negative
ML774,negative,negative
ML775,positive,positive
ML776,positive,positive
ML777,positive,positive
ML778,negative,negative
ML779,positive,positive
ML780,negative,negative
ML781,positive,positive
ML782,negative,negative
ML783,negative,negative
ML784,positive,positive
ML785,positive,positive
ML786,positive,positive
ML787,negative,negative
ML788,negative,negative
ML789,negative,negative
ML790,negative,negative
ML791,negative,negative
ML792,positive,positive
ML793,negative,negative
ML794,positive,positive
ML795,positive,positive
ML796,negative,negative
ML797,negative,negative
ML798,negative,negative
ML799,positive,positive
ML800,positive,positive
ML801,negative,negative
ML802,negative,negative
ML803,negative,negative
ML804,positive,positive
ML805,negative,negative
ML806,negative,negative
ML807,negative,negative
ML808,negative,negative
ML809,positive,positive
ML810,positive,positive
ML811,positive,positive
ML812,positive,positive
ML813,negative,negative
ML814,negative,negative
ML815,negative,negative
ML816,positive,positive
ML817,positive,positive
ML818,negative,negative
ML819,positive,positive
ML820,negative,negative
ML821,positive,positive
ML822,negative,negative
ML823,positive,positive
ML824,negative,negative
ML825,negative,negative
ML826,positive,positive
ML827,positive,positive
ML828,negative,negative
ML829,positive,positive
ML830,negative,negative
ML831,negative,negative
ML832,negative,negative
ML833,negative,negative
ML834,negative,negative
ML835,negative,negative
ML836,positive,positive
ML837,positive,positive
ML838,positive,negative
ML839,negative,negative
ML840,negative,negative
ML841,positive,positive
ML842,negative,negative
ML843,positive,positive
ML844,positive,positive
ML845,positive,positive
ML846,negative,negative
ML847,negative,negative
ML848,negative,negative
ML849,negative,negative
ML850,positive,positive
ML851,negative,negative
ML852,positive,positive
ML853,positive,positive
ML854,negative,negative
ML855,negative,negative
ML856,negative,negative
ML857,negative,negative
ML858,negative,negative
ML859,negative,negative
ML860,negative,negative
ML861,negative,negative
ML862,negative,negative
ML863,positive,positive
ML864,positive,positive
ML865,positive,positive
ML866,positive,positive
ML867,negative,negative
ML868,negative,negative
ML869,negative,negative
ML870,positive,positive
ML871,negative,negative
ML872,negative,negative
ML873,positive,positive
ML874,negative,negative
ML875,positive,positive
ML876,negative,negative
ML877,positive,positive
ML878,negative,negative
ML879,negative,negative
ML880,positive,positive
ML881,positive,positive
ML882,positive,positive
ML883,positive,positive
ML884,negative,negative
ML885,positive,positive
ML886,positive,positive
ML887,positive,positive
ML888,negative,negative
ML889,positive,positive
ML890,positive,positive
ML891,positive,positive
ML892,positive,positive
ML893,negative,negative
ML894,positive,positive
ML895,negative,negative
ML896,negative,negative
ML897,positive,positive
ML898,positive,positive
ML899,positive,positive
ML900,positive,positive
ML901,negative,negative
ML902,positive,positive
ML903,positive,positive
ML904,positive,positive
ML905,positive,positive
ML906,positive,positive
ML907,negative,negative
ML908,positive,positive
ML909,positive,positive
ML910,negative,negative
ML911,negative,negative
ML912,positive,positive
ML913,negative,negative
ML914,positive,positive
ML915,negative,negative
ML916,positive,positive
ML917,negative,negative
ML918,positive,positive
ML919,negative,negative
ML920,positive,positive
ML921,positive,positive
ML922,positive,positive
ML923,negative,negative
ML924,negative,negative
ML925,positive,positive
ML926,negative,negative
ML927,negative,negative
ML928,negative,negative
ML929,positive,positive
ML930,negative,negative
ML931,negative,negative
ML932,negative,negative
ML933,negative,negative
ML934,positive,positive
ML935,positive,positive
ML936,positive,positive
ML937,negative,negative
ML938,positive,positive
ML939,positive,positive
ML940,negative,negative
ML941,negative,negative
ML942,negative,negative
ML943,negative,negative
ML944,positive,positive
ML945,positive,positive
ML946,positive,positive
ML947,negative,negative
ML948,negative,negative
ML949,negative,negative
ML950,negative,negative
ML951,positive,positive
ML952,positive,positive
ML953,negative,negative
ML954,positive,positive
ML955,positive,positive
ML956,negative,negative
ML957,positive,positive
ML958,positive,positive
ML959,positive,positive
ML960,negative,negative
ML961,positive,positive
ML962,negative,negative
ML963,negative,negative
ML964,positive,positive
ML965,negative,negative
ML966,negative,negative
ML967,positive,positive
ML968,positive,positive
ML969,negative,negative
ML970,positive,positive
ML971,negative,negative
ML972,positive,positive
ML973,negative,negative
ML974,negative,negative
ML975,negative,negative
ML976,positive,positive
ML977,positive,positive
ML978,positive,positive
ML979,positive,positive
ML980,negative,negative
ML981,negative,negative
ML982,negative,negative
ML983,negative,negative
ML984,negative,negative
ML985,positive,positive
ML986,negative,negative
ML987,negative,negative
ML988,negative,negative
ML989,positive,positive
ML990,negative,negative
ML991,negative,negative
ML992,negative,negative
ML993,negative,negative
ML994,positive,positive
ML995,negative,negative
ML996,positive,positive
ML997,negative,negative
ML998,negative,negative
ML999,negative,negative
ML1000,negative,negative
ML1001,negative,negative
ML1002,negative,negative
ML1003,positive,positive
ML1004,negative,negative
ML1005,negative,negative
ML1006,negative,negative
ML1007,negative,negative
ML1008,positive,positive
ML1009,positive,positive
ML1010,positive,positive
ML1011,positive,positive
ML1012,negative,negative
ML1013,negative,negative
ML1014,positive,positive
ML1015,positive,positive
ML1016,positive,positive
ML1017,negative,negative
ML1018,negative,negative
ML1019,negative,negative
ML1020,negative,negative
ML1021,negative,negative
ML1022,positive,positive
ML1023,negative,negative
ML1024,positive,positive
ML1025,positive,positive
ML1026,positive,positive
ML1027,negative,negative
ML1028,negative,negative
ML1029,negative,negative
ML1030,negative,negative
ML1031,negative,negative
ML1032,positive,positive
ML1033,negative,negative
ML1034,positive,positive
ML1035,negative,negative
ML1036,positive,positive
ML1037,negative,negative
ML1038,negative,negative
ML1039,positive,positive
ML1040,positive,positive
ML1041,positive,positive
ML1042,positive,positive
ML1043,negative,negative
ML1044,positive,positive
ML1045,positive,positive
ML1046,positive,positive
ML1047,positive,positive
ML1048,positive,positive
ML1049,positive,positive
ML1050,positive,positive
ML1051,negative,negative
ML1052,negative,negative
ML1053,negative,negative
ML1054,positive,positive
ML1055,positive,positive
ML1056,positive,positive
ML1057,positive,positive
ML1058,positive,positive
ML1059,positive,positive
ML1060,positive,positive
ML1061,negative,negative
ML1062,negative,negative
ML1063,positive,positive
ML1064,positive,positive
ML1065,negative,negative
ML1066,negative,negative
ML1067,positive,positive
ML1068,positive,positive
ML1069,positive,positive
ML1070,negative,negative
ML1071,negative,negative
ML1072,negative,negative
ML1073,positive,positive
ML1074,positive,positive
ML1075,positive,positive
ML1076,positive,positive
ML1077,positive,positive
ML1078,positive,positive
ML1079,negative,negative
ML1080,positive,positive
ML1081,positive,positive
ML1082,positive,positive
ML1083,positive,positive
ML1084,positive,positive
ML1085,negative,negative
ML1086,negative,negative
ML1087,negative,negative
ML1088,positive,positive
ML1089,negative,negative
ML1090,positive,positive
ML1091,positive,positive
ML1092,positive,positive
ML1093,positive,positive
ML1094,negative,negative
ML1095,positive,positive
ML1096,positive,positive
ML1097,negative,negative
ML1098,positive,positive
ML1099,negative,negative
ML1100,negative,negative
ML1101,negative,negative
ML1102,negative,negative
ML1103,positive,positive
ML1104,positive,positive
ML1105,positive,positive
ML1106,negative,negative
ML1107,negative,negative
ML1108,positive,positive
ML1109,positive,positive
ML1110,positive,positive
ML1111,positive,positive
ML1112,negative,negative
ML1113,negative,negative
ML1114,negative,negative
ML1115,negative,negative
ML1116,negative,negative
ML1117,positive,positive
ML1118,positive,positive
ML1119,negative,negative
ML1120,positive,positive
ML1121,positive,positive
ML1122,positive,positive
ML1123,negative,negative
ML1124,negative,negative
ML1125,negative,negative
ML1126,negative,negative
ML1127,negative,negative
ML1128,negative,negative
ML1129,negative,negative
ML1130,positive,positive
ML1131,positive,positive
ML1132,positive,positive
ML1133,positive,positive
ML1134,positive,positive
ML1135,positive,positive
ML1136,positive,positive
ML1137,positive,positive
ML1138,negative,negative
ML1139,positive,positive
ML1140,positive,positive
ML1141,negative,negative
ML1142,negative,negative
ML1143,negative,negative
ML1144,negative,negative
ML1145,negative,positive
ML1146,negative,negative
ML1147,positive,positive
ML1148,negative,negative
ML1149,negative,negative
ML1150,positive,positive
ML1151,negative,negative
ML1152,positive,positive
ML1153,negative,negative
ML1154,negative,negative
ML1155,negative,negative
ML1156,positive,positive
ML1157,negative,negative
ML1158,positive,positive
ML1159,negative,negative
ML1160,negative,negative
ML1161,positive,positive
ML1162,positive,positive
ML1163,positive,positive
ML1164,positive,positive
ML1165,positive,positive
ML1166,negative,negative
ML1167,negative,negative
ML1168,negative,negative
ML1169,positive,positive
ML1170,positive,positive
ML1171,positive,positive
ML1172,negative,negative
ML1173,negative,negative
ML1174,positive,positive
ML1175,positive,positive
ML1176,positive,positive
ML1177,negative,negative
ML1178,negative,negative
ML1179,positive,positive
ML1180,positive,positive
ML1181,positive,positive
ML1182,positive,positive
ML1183,positive,positive
ML1184,positive,positive
ML1185,positive,positive
ML1186,positive,positive
ML1187,positive,positive
ML1188,negative,negative
ML1189,positive,positive
ML1190,positive,positive
ML1191,negative,negative
ML1192,positive,positive
ML1193,positive,positive
ML1194,negative,negative
ML1195,positive,positive
ML1196,positive,positive
ML1197,positive,positive
ML1198,positive,positive
ML1199,negative,negative
ML1200,positive,positive
ML1201,negative,negative
ML1202,negative,negative
ML1203,negative,negative
ML1204,positive,positive
ML1205,positive,positive
ML1206,positive,positive
ML1207,negative,negative
ML1208,negative,negative
ML1209,negative,negative
ML1210,negative,negative
ML1211,negative,negative
ML1212,negative,negative
ML1213,negative,negative
ML1214,positive,positive
ML1215,positive,positive
ML1216,positive,positive
ML1217,negative,negative
ML1218,negative,negative
ML1219,positive,positive
ML1220,negative,negative
ML1221,negative,negative
ML1222,negative,negative
ML1223,positive,positive
ML1224,positive,positive
ML1225,positive,positive
ML1226,positive,positive
ML1227,negative,negative
ML1228,negative,negative
ML1229,negative,negative
ML1230,positive,positive
ML1231,negative,negative
ML1232,negative,negative
ML1233,positive,positive
ML1234,negative,negative
ML1235,positive,positive
ML1236,positive,positive
ML1237,negative,negative
ML1238,negative,negative
ML1239,positive,positive
ML1240,negative,negative
ML1241,positive,positive
ML1242,positive,positive
ML1243,negative,negative
ML1244,positive,positive
ML1245,negative,negative
ML1246,negative,negative
ML1247,positive,positive
ML1248,negative,negative
ML1249,positive,positive
ML1250,negative,negative
ML1251,negative,negative
ML1252,positive,positive
ML1253,positive,positive
ML1254,negative,negative
ML1255,negative,negative
ML1256,positive,positive
ML1257,negative,negative
ML1258,positive,positive
ML1259,negative,negative
ML1260,negative,negative
ML1261,positive,negative
ML1262,positive,positive
ML1263,positive,positive
ML1264,positive,positive
ML1265,negative,negative
ML1266,positive,positive
ML1267,negative,negative
ML1268,negative,negative
ML1269,negative,negative
ML1270,positive,positive
ML1271,negative,negative
ML1272,positive,positive
ML1273,negative,negative
ML1274,positive,positive
ML1275,negative,negative
ML1276,positive,positive
ML1277,positive,positive
ML1278,negative,negative
ML1279,negative,negative
ML1280,positive,positive
ML1281,positive,positive
ML1282,positive,positive
ML1283,positive,positive
ML1284,negative,negative
ML1285,negative,negative
ML1286,negative,negative
ML1287,negative,negative
ML1288,negative,negative
ML1289,negative,negative
ML1290,positive,positive
ML1291,negative,negative
ML1292,positive,positive
ML1293,negative,negative
ML1294,positive,positive
ML1295,positive,positive
ML1296,positive,positive
ML1297,positive,positive
ML1298,positive,positive
ML1299,positive,positive
ML1300,positive,positive
ML1301,negative,negative
ML1302,negative,negative
ML1303,positive,positive
ML1304,positive,positive
ML1305,negative,negative
ML1306,negative,negative
ML1307,negative,negative
ML1308,positive,positive
ML1309,positive,positive
ML1310,negative,negative
ML1311,negative,negative
ML1312,negative,negative
ML1313,negative,negative
ML1314,negative,negative
ML1315,negative,negative
ML1316,negative,negative
ML1317,positive,positive
ML1318,positive,positive
ML1319,positive,positive
ML1320,positive,positive
ML1321,positive,positive
ML1322,negative,negative
ML1323,negative,negative
ML1324,negative,negative
ML1325,negative,negative
ML1326,positive,positive
ML1327,positive,positive
ML1328,positive,positive
ML1329,negative,negative
ML1330,positive,positive
ML1331,positive,positive
ML1332,negative,negative
ML1333,positive,positive
ML1334,negative,negative
ML1335,negative,negative
ML1336,negative,negative
ML1337,negative,negative
ML1338,negative,negative
ML1339,negative,negative
ML1340,negative,negative
ML1341,negative,negative
ML1342,positive,positive
ML1343,positive,positive
ML1344,negative,negative
ML1345,positive,positive
ML1346,negative,negative
ML1347,negative,negative
ML1348,negative,negative
ML1349,negative,negative
ML1350,positive,positive
ML1351,positive,positive
ML1352,positive,positive
ML1353,positive,positive
ML1354,positive,positive
ML1355,positive,positive
ML1356,negative,negative
ML1357,positive,positive
ML1358,positive,positive
ML1359,positive,positive
