word,relaxed,angry,happy,sad
leg,7,5,1,19
till,66,55,50,36
eye,160,167,107,123
roll,38,19,13,25
tryna,3,1,7,49
mm,8,3,8,2
mma,6,1,16,1
turn,103,176,63,117
war,61,537,6,26
soldier,5,12,2,8
starin,2,2,1,2
irreplaceable,2,1,7,1
beauty,4,2,9,2
neck,7,17,1,4
breathe,18,32,8,10
sense,4,19,9,17
wake,37,41,10,43
finish,7,1,1,3
round,39,33,9,44
two,58,47,48,38
matter,36,73,48,24
fact,8,15,3,10
closer,22,18,8,6
three,20,24,8,7
shawty,7,20,3,3
sweetest,14,4,16,3
dream,353,88,136,75
angel,161,19,30,35
wonderful,49,11,15,8
thanks,8,3,4,4
bless,118,10,13,2
fly,92,34,20,26
drift,9,3,2,4
heaven,133,36,89,32
watch,55,68,12,65
sunlight,5,3,6,1
peak,2,1,2,1
horizon,10,7,2,1
ooh,122,137,175,63
sun,294,74,67,27
shinin,3,1,4,7
send,29,68,24,45
world,244,229,179,95
everybody,22,37,61,41
ay,29,8,3,28
ayay,2,1,1,1
ragga,1,3,1,1
ha,4,28,4,35
fi,19,4,6,1
dread,1,7,1,2
rasta,2,17,2,1
dreadlock,1,8,1,1
divine,5,4,12,6
conception,1,5,1,1
well,79,121,159,105
life,216,274,477,124
livity,1,2,1,1
father,28,9,25,6
history,6,15,2,1
uphold,1,4,13,1
anciency,1,2,1,1
prophecy,1,2,1,1
trust,13,18,24,6
power,5,47,107,37
trinity,1,2,1,2
majesty,16,6,6,3
yes,73,125,58,73
lineage,1,2,1,1
divinity,1,2,2,1
step,19,23,7,13
serenity,1,2,1,4
self,6,21,6,18
true,93,51,132,31
royalty,1,3,1,1
afraid,3,110,10,16
jah,1,33,5,3
burn,44,490,17,78
fire,45,1042,28,40
reign,21,14,23,4
heat,5,11,7,17
water,25,18,10,10
lift,9,4,28,4
higher,7,83,34,6
clap,1,1,3,2
y,42,49,19,775
judgement,2,7,4,1
standin,6,4,2,2
front,6,8,4,9
line,28,29,13,20
lord,146,109,84,38
ask,36,66,45,26
spend,34,21,28,28
3,15,4,6,3
destruction,2,12,2,7
poverty,1,1,2,1
home,1026,93,50,123
comin,54,30,15,11
eternity,4,2,10,2
break,39,164,101,153
amistad,1,1,7,2
could,207,163,365,177
hold,120,142,146,90
lose,43,194,106,119
fortune,2,6,4,10
homeless,1,1,2,1
street,31,25,17,44
sleepin,2,1,3,1
grand,3,3,3,3
central,1,2,2,1
station,2,2,2,2
year,80,45,59,38
pass,26,18,18,10
stay,63,54,86,59
young,24,32,45,17
old,77,61,62,42
babe,22,16,50,17
die,33,132,36,88
cry,65,107,78,66
earth,107,20,15,15
mean,57,78,72,70
people,74,110,192,61
seri,1,4,1,1
serani,1,3,1,1
everywhere,24,35,36,15
find,175,114,204,162
hypocrites,1,3,1,1
badmind,1,3,1,1
envy,2,3,1,1
backstabbers,1,3,1,1
parasite,1,3,1,2
somebody,38,76,52,56
study,1,46,3,2
dem,12,24,2,1
evil,22,95,8,5
feeble,1,9,1,1
fight,38,468,26,62
pause,2,6,1,1
fightin,1,11,2,1
atmosphere,1,2,2,2
things,12,10,6,3
catch,12,27,6,109
righteous,1,4,4,2
beware,1,8,1,1
chit,1,2,1,1
chat,2,3,1,1
clear,19,16,19,8
envious,1,2,1,1
flare,1,3,1,1
help,35,56,33,43
fear,22,120,29,18
another,75,75,54,81
choose,8,23,11,4
ripper,1,2,1,1
fassy,1,2,1,1
plan,7,18,16,16
battle,2,50,3,9
almighty,1,2,13,1
mi,21,11,6,314
conscience,1,8,1,1
free,120,57,108,109
wrong,42,71,59,49
music,61,37,45,17
write,40,11,20,22
sing,140,63,181,55
song,90,41,101,25
remember,29,37,43,27
genuine,1,2,1,1
fake,3,19,1,16
judge,2,5,1,9
embrace,9,9,5,2
disgrace,1,3,2,1
habit,3,3,1,4
separate,2,4,6,3
moan,5,3,2,4
feeding,2,2,1,2
bone,16,20,3,17
grow,45,44,36,36
command,2,6,2,3
nobody,62,45,73,73
show,66,77,70,53
morning,58,61,71,35
rest,22,13,7,11
evening,14,6,11,4
debt,2,9,2,1
leave,135,128,115,139
adore,7,4,19,5
must,59,67,46,46
speak,32,37,20,30
word,108,42,61,57
grace,13,16,14,6
spellwork,5,5,1,1
delight,16,4,1,1
desire,15,92,28,4
save,41,49,32,23
soul,70,54,78,45
yesterday,5,7,7,5
hurt,18,136,62,50
worse,4,7,7,5
align,2,2,1,1
ready,21,55,27,19
waste,19,25,5,114
limb,2,15,1,2
pore,2,2,1,1
wide,14,14,9,4
open,42,37,54,35
bleed,4,14,3,14
potion,2,2,1,2
lie,42,180,39,86
serves,1,1,3,1
bring,162,85,90,55
game,15,53,57,8
lonely,39,31,25,485
cold,26,86,25,56
start,29,112,63,60
quiver,1,3,3,1
keep,214,113,224,106
push,15,36,15,17
aside,5,5,12,1
think,254,189,253,169
realize,22,9,21,16
seem,70,43,59,52
buy,10,13,31,6
fit,14,10,6,10
glove,2,4,2,4
tight,34,25,16,14
forget,31,37,43,46
mine,58,37,81,37
menace,2,1,1,1
society,2,2,2,2
hahaha,3,1,1,1
biggin,2,1,1,1
di,3,3,5,15
ghetto,27,2,1,1
lady,21,8,39,8
bruk,2,1,1,1
gwan,4,1,1,1
along,35,15,13,33
gimme,27,6,14,17
gyal,25,1,3,1
wickedest,8,1,1,1
slam,17,6,3,3
kinda,12,3,14,5
weh,12,1,2,1
waan,9,1,1,1
medal,8,1,1,3
haffi,11,1,1,1
pedal,3,3,2,1
wheel,4,12,9,13
banana,3,1,1,1
peel,3,1,2,3
maxfield,3,1,1,1
girlfriend,4,5,4,2
nah,8,8,1,3
whole,40,34,44,28
heap,3,1,1,1
hide,18,75,21,45
junglist,3,1,1,1
pon,4,3,1,1
side,36,42,43,23
wife,6,11,6,5
bow,6,9,12,103
inna,2,17,1,1
nuh,2,5,3,1
wrinkle,2,1,1,1
screw,2,6,1,5
seaview,2,1,1,1
run,57,145,57,85
uptown,11,3,1,2
brown,7,2,1,2
pretty,49,43,59,94
pearl,6,1,2,4
mama,42,16,7,5
coulda,2,1,1,1
earl,2,1,1,1
unuh,2,1,1,1
proud,12,2,13,4
although,5,5,9,4
might,40,46,45,29
loud,4,20,12,15
road,47,16,5,26
move,45,87,40,62
crowd,3,2,5,4
ghet,2,1,1,1
pastor,1,3,2,1
church,5,1,3,3
folk,6,2,5,8
friend,73,96,94,25
listen,34,28,34,16
god,122,140,532,21
mercy,8,12,14,7
favor,3,14,3,7
deserve,7,18,12,6
testimony,1,2,3,1
hour,4,13,8,11
sinner,1,3,5,11
floor,11,48,10,20
second,17,13,17,13
chance,20,45,88,26
rescue,6,5,25,2
enemy,5,20,5,7
bottom,5,2,20,26
top,10,46,11,6
lend,1,1,3,3
overcome,3,7,3,1
use,62,61,47,35
paralyze,2,3,3,1
test,1,16,13,2
best,27,38,47,12
gon,21,7,10,1
ye,1,7,7,4
ah,31,55,72,39
buh,11,1,1,1
school,11,4,7,21
learn,28,35,24,17
e,2,7,19,26
except,6,7,1,6
c,17,2,1,3
plus,2,5,2,3
four,15,13,8,8
teach,30,16,5,10
seat,7,1,1,17
b,14,13,7,3
easy,197,58,16,38
1,19,9,8,2
2,25,7,4,8
simple,20,9,22,5
re,12,2,1,1
little,238,157,124,134
bit,5,9,10,9
reading,2,1,3,1
arithmetic,2,1,1,1
branch,4,2,1,1
tree,66,33,7,27
root,3,6,3,1
education,3,2,1,1
complete,6,9,13,11
ttt,2,1,2,1
teacher,25,1,2,4
nyah,5,1,1,1
spell,5,6,12,5
add,2,11,2,1
count,24,22,12,8
melody,29,5,12,1
shake,61,35,36,54
ooo,7,3,7,4
huh,8,4,27,15
darkness,12,25,19,28
shine,68,32,51,13
meet,39,13,40,22
paradise,61,19,14,7
boy,52,92,92,112
wonder,53,21,56,39
treasure,5,3,12,2
steal,8,19,5,16
lay,27,39,25,14
close,36,29,37,30
gonna,15,10,19,10
tenderness,4,1,8,1
sweet,142,65,41,40
caress,1,4,6,1
reach,26,33,21,15
fantasy,86,2,5,3
beat,18,55,29,17
ecstasy,5,2,2,1
warm,22,14,23,12
shadow,17,19,2,11
gray,2,2,3,9
gotta,31,26,29,13
arm,63,22,45,56
rain,64,41,30,77
prayin,2,3,3,3
flyin,3,4,3,1
high,91,34,21,28
deny,3,18,5,9
money,49,31,123,8
dreamin,17,5,5,3
smile,56,41,54,44
worthwhile,1,3,4,1
slightest,3,2,3,2
storm,24,15,11,6
rise,57,59,17,18
wind,32,15,9,22
blow,17,29,14,26
worry,19,3,18,20
new,102,70,85,52
treat,25,13,37,6
tenderly,1,1,9,2
darling,50,12,57,23
heavenly,34,35,8,11
hug,2,8,11,2
squeeze,2,1,9,2
tease,1,1,13,1
mess,9,6,2,10
dirty,2,9,7,178
hell,22,65,4,36
preacher,2,3,2,3
preach,4,2,1,2
confess,3,1,11,3
sin,44,49,8,300
repent,1,1,1,4
jesus,36,25,49,3
weary,5,2,1,7
wear,13,10,21,13
sad,33,36,16,150
glad,33,3,46,10
forgive,2,3,7,8
question,5,10,15,7
serve,3,5,9,6
inside,40,124,70,90
may,39,67,48,31
discourage,2,1,2,2
throw,10,29,26,45
towel,2,1,1,4
glory,41,21,100,7
honor,1,7,6,1
dominion,1,1,2,1
forever,26,31,162,19
omnipotent,1,1,2,1
reineth,1,1,2,1
greater,8,11,35,4
sovereign,1,1,2,1
great,17,7,24,11
worthy,3,3,7,1
stand,59,100,67,31
reverence,1,3,2,1
presence,3,3,4,3
jehovah,1,1,3,2
lover,57,22,35,15
near,32,24,46,10
star,53,28,67,20
dark,26,43,9,47
sky,167,48,43,34
try,84,141,123,108
explain,5,12,14,6
happen,11,17,23,14
suddenly,3,4,3,1
battlefield,2,29,1,1
smallest,1,2,1,1
tear,32,62,40,68
shield,2,11,1,2
tie,5,18,2,18
behind,41,24,13,46
climb,6,4,10,5
fast,23,18,7,19
swallow,3,10,4,6
pride,12,21,21,10
neither,1,6,1,3
flag,2,5,2,6
surrender,16,6,9,1
guess,21,20,20,26
armor,1,10,2,1
pretend,8,21,14,11
ohh,14,10,36,8
fair,8,6,6,3
cherry,11,10,1,1
bomb,8,75,1,10
ago,3,5,14,7
spirit,17,15,24,7
bar,4,6,4,8
brush,1,3,1,2
tooth,5,8,1,5
sleeve,4,7,3,1
longest,1,3,1,3
n,34,14,34,26
drive,18,43,17,18
dress,10,16,1,11
gown,4,2,1,2
pay,20,44,13,19
heavy,10,13,3,5
weighted,2,1,1,1
mmmmmm,2,2,1,1
peace,118,32,7,17
surpass,2,2,1,1
understanding,4,5,2,2
supass,2,1,1,1
4,3,2,11,4
minwordserror,21,13,13,9
maxwordserror,21,13,13,9
cheeeek,21,13,13,9
sayin,11,4,7,4
playa,2,5,1,3
number,5,12,2,10
dial,3,1,1,2
sex,7,3,87,3
gettin,8,22,8,8
straight,14,9,8,7
crib,7,1,1,1
whip,5,8,2,3
shakin,8,2,1,3
chick,13,27,2,3
knee,25,24,24,23
ai,44,44,23,15
lovin,15,24,45,4
wifin,2,1,1,1
spendin,2,1,1,1
committed,3,2,8,1
damn,17,12,6,21
hat,6,2,4,3
nigga,3,7,3,51
truth,51,39,28,12
nothin,27,8,5,6
said,15,16,22,6
wave,7,8,5,17
goodbye,16,12,33,19
forgetful,1,1,1,2
backward,3,7,1,4
parade,1,2,1,2
stuck,5,9,1,6
block,3,2,2,11
shade,14,2,3,3
sweep,1,3,1,5
pillow,11,1,2,10
flowers,7,1,1,3
sick,10,16,8,172
dead,7,111,7,97
slow,37,52,4,185
stone,25,7,5,18
hospital,3,7,1,3
funeral,1,8,1,19
fog,2,1,1,2
sigh,15,4,7,4
disguise,8,6,5,5
anymore,5,37,21,14
piece,7,16,6,45
puzzle,1,1,1,2
tide,1,6,4,4
sink,11,6,2,10
blink,3,2,1,4
many,16,40,35,37
everyone,18,32,20,16
door,55,37,37,34
someone,51,72,154,75
unconditional,1,2,2,1
vamp,3,1,3,1
lovely,17,8,10,8
appeal,1,2,2,1
steppin,1,1,18,1
dancin,2,2,5,2
begin,25,34,17,22
romancin,1,1,2,1
thrilling,1,1,2,1
willing,1,3,4,2
dance,32,95,35,12
increase,1,5,5,1
romance,5,2,9,7
stronger,5,14,34,3
longer,5,9,9,3
small,2,7,7,9
whoa,9,49,71,28
hole,6,4,2,24
dig,11,12,9,11
beggin,1,3,5,2
everbody,1,1,1,2
talk,45,31,35,50
crawlin,2,1,1,2
mud,3,5,4,2
pig,28,3,1,3
nowhere,10,32,8,32
lot,28,22,19,12
misery,1,19,3,11
blood,18,45,24,51
lotta,4,2,16,5
low,14,18,13,38
greed,1,8,2,4
oooooh,1,7,1,1
threat,1,11,1,1
ning,1,3,1,1
shelter,3,7,4,2
fade,11,23,9,11
child,74,50,31,17
shot,4,63,3,17
sweeping,1,3,1,2
red,20,35,8,25
coal,1,7,1,2
carpet,2,3,1,2
mad,16,31,6,13
bull,3,4,1,1
rape,2,39,1,1
murder,3,22,2,14
mmm,24,6,12,4
flood,10,7,2,3
sister,9,8,10,6
dollar,6,6,14,4
past,12,21,11,17
sunset,20,4,4,1
pants,1,1,3,4
happy,137,95,244,14
candy,66,2,4,5
stranger,15,15,25,10
papa,3,4,3,9
boss,1,9,2,2
flash,5,2,2,3
cocktail,1,1,2,1
flesh,5,11,8,5
lear,2,1,2,1
jet,2,3,2,1
last,75,59,50,66
detroit,5,1,1,1
cottonfield,2,1,1,1
mother,45,38,36,13
dear,28,22,19,41
brother,36,18,13,11
homefolks,2,1,1,1
letter,14,2,9,13
fine,36,14,21,16
car,15,7,8,16
read,23,13,12,14
rode,2,1,1,5
freight,6,2,1,1
train,14,15,3,16
north,4,4,1,6
wastin,2,3,1,1
foolish,11,2,7,4
southbound,2,2,1,1
ride,33,42,19,31
waitin,5,6,5,2
far,101,50,39,62
reason,27,42,25,24
goin,90,32,5,20
though,36,31,60,33
ought,20,1,9,6
evry,9,5,1,1
makin,8,10,29,4
sittin,4,2,1,7
athinkin,3,1,1,1
missin,3,3,1,1
hurtin,2,5,5,2
drinkin,5,2,3,2
hard,63,69,88,51
knowin,4,1,2,1
hatin,3,1,1,1
yo,29,36,13,276
se,3,17,3,209
bien,5,1,2,32
que,61,67,2,1167
estoy,3,4,3,72
afuera,1,1,1,12
pero,18,4,3,128
el,35,26,1,571
día,2,1,1,51
muera,1,1,1,9
tendrás,1,1,1,4
llorar,2,1,1,36
dirc,1,1,1,4
quisiste,1,1,1,7
vas,1,7,1,36
estar,2,1,1,43
muy,1,1,1,36
triste,1,3,1,20
í,1,2,1,9
quedar,1,1,1,10
con,17,17,3,201
dinero,1,1,1,27
hago,1,1,1,14
siempre,8,4,1,71
lo,11,7,1,176
quiero,12,5,2,121
palabra,3,2,1,23
es,24,21,2,379
la,82,77,68,629
ley,1,1,1,12
tengo,2,4,1,48
trono,1,1,1,11
ni,5,4,2,125
reyna,1,1,1,3
nadie,2,4,1,84
comprenca,1,1,1,3
sigo,2,1,1,34
siendo,1,1,1,14
rey,1,1,1,21
enseñó,1,1,1,4
destino,3,3,1,13
era,1,3,1,23
rodar,1,1,1,18
despue,1,1,1,3
dijo,1,1,1,7
un,3,23,6,304
arriero,1,1,1,6
hay,8,14,1,133
llegar,1,2,1,19
primero,1,1,1,13
saber,4,4,1,25
vibration,21,1,1,1
follow,12,31,7,16
rhythm,13,14,3,3
voice,21,22,8,21
emotion,5,4,15,4
fulfill,6,1,3,2
butterfly,18,12,2,1
sensation,3,1,1,2
x,8,2,2,5
quarter,3,10,1,1
bang,3,28,1,113
key,26,6,9,6
alive,8,54,40,20
dancing,5,16,22,21
drank,3,1,1,10
cash,4,13,5,3
fix,4,8,15,15
mustard,2,1,2,1
ham,2,2,1,2
crash,2,24,2,12
bathroom,2,1,1,4
trailer,2,1,1,1
sunday,12,5,5,1
boot,4,5,4,1
nose,2,1,3,7
trail,3,2,1,5
surprise,6,6,5,4
pleasure,6,9,13,4
roast,2,1,1,1
win,59,72,47,7
fisticuffs,1,1,1,3
head,122,96,30,76
cut,6,26,4,73
statistic,1,2,1,2
collect,1,1,1,2
hunger,2,4,6,3
wall,22,24,7,22
float,5,3,3,11
fault,3,24,1,44
bury,1,20,1,13
killer,3,63,1,9
kill,9,75,18,43
fate,9,25,9,14
cloud,44,19,6,13
dust,4,19,1,8
raining,4,1,1,2
phantom,3,1,1,2
naturally,2,1,1,1
collaps,2,1,1,1
wedding,3,2,1,1
oooohooohoohoooohoohoohoooo,1,1,2,1
nohoo,1,1,2,1
brigde,1,1,2,1
baheeyby,1,1,2,1
hoow,1,1,2,1
lohohooove,1,1,2,1
primising,1,1,2,1
ohooow,1,1,3,1
eheeey,1,1,2,1
wooohooo,1,1,2,1
saiaiaiad,1,1,2,1
yeaheeeey,1,1,2,1
sung,1,2,4,2
isolate,1,3,1,3
raid,1,6,1,1
tastes,2,2,1,2
bigger,1,6,3,1
cadillac,1,1,2,12
doubt,11,16,12,14
still,80,119,203,70
brain,6,26,7,24
kind,173,35,44,25
pain,19,352,30,55
blind,16,28,13,146
escape,4,31,3,13
deeper,2,21,2,9
journey,4,2,3,5
reality,18,5,4,3
inner,1,2,1,5
esteem,1,1,1,3
deep,35,31,55,29
ground,14,35,18,30
jonathan,1,1,1,3
davis,1,1,1,3
amp,10,25,28,18
inspect,1,2,1,1
reflect,1,2,3,1
lip,24,25,16,35
mask,1,6,1,3
rip,2,12,1,14
seek,5,19,1,19
ear,4,3,12,5
noise,3,10,3,4
greatest,1,3,5,3
ease,7,21,1,3
rave,2,4,1,1
impossibility,1,2,1,1
engaged,1,2,1,1
crime,6,11,3,9
grasp,2,2,1,2
throat,2,6,2,4
enrage,1,4,1,1
smoke,4,34,1,5
enforce,1,3,1,1
mental,1,7,1,1
overload,1,4,1,1
angry,5,23,2,9
story,8,21,18,15
twist,6,19,5,11
fold,4,2,1,1
contortionist,1,2,1,1
slight,1,2,1,1
quick,1,27,3,3
exchange,1,2,2,1
trick,4,5,2,5
rearrange,4,3,1,2
sear,1,2,1,1
sinew,1,2,1,1
tissue,1,2,1,6
lung,3,8,3,1
gravity,1,2,1,2
pull,12,24,9,27
steam,1,35,1,2
finally,15,19,8,13
dissipate,1,2,1,1
sweaty,1,2,1,1
association,1,2,1,1
inevitably,1,2,1,1
governed,1,2,1,1
set,53,77,59,39
fracture,1,5,1,1
jaw,1,3,2,5
cardboard,1,2,1,1
condo,1,2,1,1
maze,1,2,1,7
fill,15,35,47,20
insubordinate,1,2,1,1
race,9,13,5,9
irrational,1,2,1,1
youth,7,29,4,3
stare,9,9,4,13
rubber,1,3,1,1
hose,1,2,1,2
create,4,6,4,2
bolt,1,4,2,2
cage,2,26,2,17
lock,10,13,7,11
hate,23,271,13,77
maybe,48,49,52,31
full,13,36,21,18
scenario,1,4,1,1
stain,2,6,2,4
blurry,1,3,1,2
breed,1,4,2,2
bloody,1,28,1,14
risk,2,9,5,6
insanity,1,3,1,1
venture,1,2,1,1
gain,2,6,2,4
beg,8,15,9,10
helpless,1,5,1,7
rage,5,46,1,5
nightmare,13,59,1,15
drag,5,4,1,5
devil,21,45,4,18
guest,1,3,2,2
acquaintance,1,3,1,1
sever,1,6,1,2
smell,6,6,3,30
ink,4,3,1,2
slave,6,20,3,14
madness,6,11,2,5
haunt,3,12,1,7
yearn,3,13,9,1
trigger,1,10,1,3
price,6,17,5,7
sweat,3,11,4,3
yet,20,17,16,13
demon,2,31,2,1
beyond,23,14,3,18
sight,22,20,8,5
nerve,1,9,2,2
sedate,1,3,1,1
medicate,1,12,1,2
slowly,17,12,8,20
insane,5,40,2,9
intention,2,6,3,2
complication,2,3,1,2
tragic,1,8,2,1
fail,16,19,9,11
drench,1,6,1,1
respect,49,12,1,5
hit,7,76,12,22
crawl,2,12,3,14
replaceable,1,3,1,1
liar,5,20,1,2
choice,8,12,7,2
grant,2,5,3,4
store,8,9,9,4
shove,1,3,2,4
slipping,2,6,2,2
corner,13,19,2,16
scream,9,95,4,24
empty,5,21,6,19
closet,1,10,1,2
driven,3,10,1,1
grave,6,12,2,8
eulogy,1,3,1,1
buyer,1,3,1,1
beside,16,15,12,10
barrel,1,6,2,1
gauge,1,3,1,1
forgiveness,1,6,3,2
dirthouse,1,1,1,3
box,8,2,2,5
wander,1,3,1,3
skin,9,23,26,11
dirt,2,6,5,22
dog,36,5,2,15
curl,2,2,1,3
ball,2,4,12,10
freezing,2,1,1,2
ass,5,10,5,15
pick,17,31,20,27
pushing,1,2,2,2
scares,1,1,1,2
burnt,1,2,1,4
death,12,82,6,84
brings,2,3,1,2
final,6,18,2,25
bliss,3,1,7,10
suicide,7,4,1,6
already,8,21,27,29
cyanide,1,1,1,4
shell,1,6,3,5
forevermore,5,2,2,6
patiently,2,3,4,3
wing,17,17,2,15
unfolding,2,1,1,2
spread,9,16,8,5
oer,3,1,1,2
concrete,2,1,1,7
weep,3,8,6,10
shed,2,7,2,6
strife,1,4,2,2
freshly,1,1,1,2
laid,10,5,3,8
upon,38,21,16,29
o,13,8,36,16
tube,1,2,1,3
channel,1,6,1,2
twiddle,1,1,1,2
thumb,2,1,2,2
unlocked,1,1,3,2
fuckin,1,4,1,2
lazy,14,3,1,2
bite,4,2,4,8
bored,1,1,1,35
velcro,1,1,1,2
barr,1,1,1,2
indoors,1,2,2,2
summer,16,4,9,10
cell,2,7,1,12
motivation,1,2,1,4
inspiration,1,1,6,2
phone,10,10,4,14
pathetic,1,2,1,2
job,9,9,4,3
masturbation,1,1,1,4
fun,23,19,108,12
loneliness,5,1,3,13
suffice,1,1,1,2
tripping,1,1,1,4
quit,1,16,13,4
myth,1,1,1,2
favorite,11,3,3,23
source,2,2,2,2
sore,1,2,2,2
appreciate,1,2,4,1
concern,4,8,1,2
stink,2,3,1,3
disagree,1,4,1,2
travel,10,14,5,3
seven,6,9,10,8
seas,2,9,4,7
abuse,2,16,5,3
movin,14,9,2,1
vain,2,11,3,4
tainted,1,2,14,1
anger,2,45,1,1
torment,1,6,1,1
drivin,3,5,1,2
feelin,7,9,26,11
betrayed,1,4,2,2
apart,25,29,24,28
brutal,1,3,1,1
deal,4,19,4,7
mudshovel,1,17,1,1
painful,4,6,2,1
untrue,1,8,7,2
within,9,19,23,3
point,8,12,12,6
quickly,3,4,3,4
toy,4,6,7,6
fist,3,11,5,5
scar,4,14,4,7
tempt,1,2,2,1
gift,26,13,13,5
sometimes,28,41,59,63
sorry,10,18,14,25
regret,9,16,7,12
unhappy,1,3,2,3
trip,4,6,4,1
much,89,92,154,58
suffocate,1,25,1,1
laugh,14,14,15,22
til,9,7,14,5
return,14,23,15,5
chest,1,12,3,5
drop,14,86,5,15
closing,1,5,1,1
wish,50,20,86,86
sarcastic,1,1,1,5
mister,2,1,2,24
bird,208,9,6,50
share,42,15,69,58
viewin,1,1,1,21
kentucky,1,12,1,3
fallin,12,8,43,3
lick,5,6,2,6
health,1,1,1,4
view,6,7,3,16
loss,3,8,1,3
stall,2,3,1,3
southern,13,1,2,3
scarlet,2,1,2,3
drawl,1,1,1,3
bye,32,3,6,5
ma,3,1,1,5
pa,4,4,1,30
soft,17,7,10,7
outside,8,22,9,16
brawl,1,1,1,3
autumn,1,1,2,4
moon,27,6,16,16
plant,4,6,2,2
seed,5,2,2,12
trap,2,5,2,3
forsake,4,3,3,1
cheat,3,6,6,3
suffer,4,17,5,9
unto,6,6,2,2
harvester,1,13,1,1
sorrow,11,33,6,12
pure,5,10,9,4
