Word,Method,Pos,Happy,Angry,Sad,Relaxed
that,upos,DET,500,500,500,499
that,upos,ADV,483,469,486,481
that,upos,PUNCT,431,425,460,453
that,xpos,IN,500,500,500,500
that,xpos,WDT,500,500,500,500
that,xpos,DT,500,500,500,499
that,xpos,RB,483,469,486,481
that,xpos,.,431,425,460,453
I,upos,PRON,500,500,500,500
I,xpos,PRP,500,500,500,500
check,upos,VERB,500,500,500,500
check,upos,NOUN,477,463,480,476
check,xpos,VBG,500,500,500,500
check,xpos,VB,500,500,500,498
check,xpos,NN,477,463,480,476
check,xpos,VBP,433,426,460,455
check,xpos,NNS,182,286,282,276
out,upos,ADP,500,500,500,500
out,upos,ADV,492,497,499,494
out,upos,NOUN,170,281,261,265
out,xpos,RP,500,500,500,500
out,xpos,RB,492,497,499,494
out,xpos,IN,492,495,498,492
out,xpos,NN,170,281,261,265
when,upos,ADV,500,500,500,500
when,xpos,WRB,500,500,500,500
put,upos,VERB,500,500,500,500
put,xpos,VBG,500,500,500,500
put,xpos,VB,500,500,500,500
put,xpos,VBD,485,482,488,487
put,xpos,VBP,479,466,483,480
put,xpos,VBZ,477,463,480,476
put,xpos,VBN,433,434,464,456
heel,upos,NOUN,500,500,500,500
heel,xpos,NNS,500,500,500,500
heel,xpos,NN,0,56,33,33
on,upos,ADV,500,500,500,500
on,upos,ADP,500,500,500,500
on,upos,SCONJ,471,461,480,469
on,xpos,RB,500,500,500,500
on,xpos,RP,500,500,500,500
on,xpos,IN,500,500,500,499
swear,upos,VERB,500,500,500,500
swear,xpos,VBP,500,500,500,500
swear,xpos,VBN,485,475,488,486
swear,xpos,VB,341,394,396,410
swear,xpos,VBD,0,133,109,128
bodys,upos,NOUN,500,500,500,500
bodys,xpos,NNS,500,500,500,500
so,upos,ADV,500,500,500,500
so,upos,SCONJ,288,363,358,369
so,xpos,RB,500,500,500,500
so,xpos,IN,288,363,358,369
perfect,upos,ADJ,500,500,500,500
perfect,xpos,JJ,500,500,500,500
work,upos,VERB,500,500,500,500
work,upos,NOUN,485,485,490,487
work,xpos,VBP,500,500,500,500
work,xpos,VBG,490,494,497,492
work,xpos,NN,485,485,490,487
work,xpos,VB,485,473,488,483
work,xpos,VBZ,452,449,470,462
work,xpos,NNS,423,424,448,452
work,xpos,VBN,213,312,301,308
work,xpos,VBD,125,254,227,244
wooo,upos,INTJ,500,500,500,500
wooo,xpos,UH,500,500,500,500
the,upos,DET,500,500,500,500
the,upos,X,489,494,497,490
the,upos,NOUN,426,425,458,453
the,upos,ADP,426,425,456,453
the,upos,PROPN,418,424,448,450
the,upos,SCONJ,293,365,363,376
the,xpos,DT,500,500,500,500
the,xpos,FW,489,494,497,490
the,xpos,NN,426,425,458,453
the,xpos,IN,426,425,456,453
the,xpos,NNP,418,424,448,450
the,xpos,GW,406,422,435,445
way,upos,NOUN,500,500,500,500
way,upos,ADV,492,495,499,493
way,xpos,NN,500,500,500,500
way,xpos,RB,492,495,499,493
way,xpos,NNS,486,487,491,487
poke,upos,VERB,500,500,500,500
poke,xpos,VBG,500,500,500,500
give,upos,VERB,500,500,500,500
give,upos,NOUN,345,396,396,412
give,xpos,VB,500,500,500,500
give,xpos,VBP,500,500,500,499
give,xpos,VBD,499,497,500,496
give,xpos,VBZ,493,497,499,494
give,xpos,VBG,489,494,495,487
give,xpos,VBN,486,491,494,487
give,xpos,NN,345,396,396,412
something,upos,PRON,500,500,500,500
something,upos,NOUN,484,471,486,481
something,upos,VERB,425,425,449,453
something,xpos,NN,500,500,500,500
something,xpos,VB,425,425,449,453
please,upos,INTJ,500,500,500,500
please,upos,VERB,193,296,287,291
please,xpos,UH,500,500,500,500
please,xpos,VB,193,296,287,291
please,xpos,VBP,32,188,156,167
believe,upos,VERB,500,500,500,500
believe,xpos,VB,500,500,500,500
believe,xpos,VBG,490,495,498,492
believe,xpos,VBD,485,481,488,486
believe,xpos,VBP,485,479,488,486
believe,xpos,VBZ,461,455,473,466
believe,xpos,VBN,193,296,288,292
we,upos,PRON,500,500,500,500
we,xpos,PRP,500,500,500,500
we,xpos,PRP$,500,500,500,500
twerk,upos,VERB,500,500,500,500
twerk,xpos,VBG,500,500,500,500
by,upos,ADP,500,500,500,500
by,upos,ADV,500,499,500,496
by,upos,SCONJ,492,495,499,493
by,xpos,IN,500,500,500,500
by,xpos,RB,500,499,500,496
end,upos,NOUN,500,500,500,500
end,upos,VERB,489,494,497,491
end,xpos,NN,500,500,500,500
end,xpos,VBP,489,494,497,491
end,xpos,VB,486,491,494,487
end,xpos,VBG,486,486,491,487
end,xpos,VBZ,433,435,465,456
end,xpos,VBN,361,400,402,420
end,xpos,VBD,361,400,401,420
end,xpos,NNS,85,223,194,210
of,upos,ADP,500,500,500,500
of,upos,SCONJ,500,500,500,500
of,upos,ADV,481,467,484,481
of,upos,PUNCT,306,376,377,389
of,upos,PROPN,143,268,250,254
of,upos,INTJ,134,262,241,252
of,upos,NOUN,0,142,120,138
of,xpos,IN,500,500,500,500
of,xpos,RB,481,467,484,481
of,xpos,.,306,376,377,389
of,xpos,NNP,143,268,250,254
of,xpos,UH,134,262,241,252
of,xpos,NN,0,142,120,138
night,upos,NOUN,500,500,500,500
night,xpos,NN,500,500,500,500
night,xpos,NNS,500,500,500,498
have,upos,AUX,500,500,500,500
have,upos,VERB,500,500,500,497
have,upos,X,406,422,435,445
have,xpos,VBP,500,500,500,500
have,xpos,VBG,500,500,500,497
have,xpos,VBD,499,497,500,496
have,xpos,VBN,498,497,500,496
have,xpos,VB,498,497,500,496
have,xpos,VBZ,494,497,500,494
have,xpos,GW,406,422,435,445
have,xpos,MD,281,357,357,362
have,xpos,AFX,32,188,158,168
have,xpos,FW,0,31,7,0
wait,upos,VERB,500,500,500,500
wait,upos,NOUN,433,427,462,455
wait,xpos,VBG,500,500,500,500
wait,xpos,VB,500,500,500,499
wait,xpos,VBN,434,437,466,456
wait,xpos,VBP,433,427,462,455
wait,xpos,NN,433,427,462,455
wait,xpos,VBD,303,376,376,389
wait,xpos,VBZ,178,284,275,274
all,upos,DET,500,500,500,500
all,upos,ADV,497,497,500,495
all,xpos,DT,500,500,500,500
all,xpos,PDT,499,498,500,496
all,xpos,RB,497,497,500,495
day,upos,NOUN,500,500,500,500
day,xpos,NN,500,500,500,500
day,xpos,NNS,485,482,488,486
wrap,upos,VERB,500,500,500,500
wrap,xpos,VB,500,500,500,500
wrap,xpos,VBN,496,497,500,494
wrap,xpos,VBP,438,438,466,459
wrap,xpos,VBD,438,438,466,459
wrap,xpos,VBZ,13,168,141,159
hand,upos,NOUN,500,500,500,500
hand,upos,VERB,337,394,396,409
hand,upos,PROPN,13,166,136,157
hand,xpos,NNS,500,500,500,500
hand,xpos,NN,498,497,500,495
hand,xpos,VBN,337,394,396,409
hand,xpos,VBG,250,330,343,344
hand,xpos,NNPS,13,166,136,157
around,upos,ADP,500,500,500,500
around,upos,ADV,498,497,500,495
around,upos,SCONJ,406,422,422,445
around,xpos,IN,500,500,500,500
around,xpos,RB,498,497,500,495
around,xpos,RP,460,453,471,465
waist,upos,NOUN,500,500,500,500
waist,xpos,NN,500,500,500,500
and,upos,CCONJ,500,500,500,500
and,upos,PUNCT,492,496,499,494
and,upos,PROPN,486,489,494,487
and,upos,ADP,476,463,480,472
and,upos,NOUN,460,453,472,466
and,upos,ADJ,460,453,472,466
and,upos,X,406,422,428,445
and,upos,SCONJ,216,313,301,309
and,upos,VERB,216,313,301,309
and,xpos,CC,500,500,500,500
and,xpos,.,492,496,499,494
and,xpos,NNP,486,489,494,487
and,xpos,IN,476,463,480,472
and,xpos,NN,460,453,472,466
and,xpos,JJ,460,453,472,466
and,xpos,FW,406,422,428,445
and,xpos,VBP,216,313,301,309
kiss,upos,VERB,500,500,500,500
kiss,upos,NOUN,493,497,499,494
kiss,xpos,VB,500,500,500,500
kiss,xpos,VBZ,500,500,500,497
kiss,xpos,VBP,495,497,500,494
kiss,xpos,NN,493,497,499,494
kiss,xpos,VBN,477,464,482,477
kiss,xpos,NNS,468,459,478,469
kiss,xpos,VBG,434,437,466,456
kiss,xpos,VBD,348,396,396,415
face,upos,NOUN,500,500,500,500
face,upos,VERB,486,492,494,487
face,xpos,NN,500,500,500,500
face,xpos,VB,486,492,494,487
face,xpos,NNS,479,465,483,477
face,xpos,VBN,418,424,448,450
face,xpos,VBG,387,414,420,442
face,xpos,VBZ,202,297,291,302
face,xpos,VBD,185,288,282,282
face,xpos,VBP,182,286,282,278
would,upos,AUX,500,500,500,500
would,xpos,MD,500,500,500,500
trade,upos,VERB,500,500,500,500
trade,upos,NOUN,490,494,497,492
trade,xpos,VB,500,500,500,500
trade,xpos,NN,490,494,497,492
trade,xpos,VBG,322,386,387,400
trade,xpos,VBD,0,60,35,36
this,upos,DET,500,500,500,500
this,upos,PRON,500,500,500,497
this,xpos,DT,500,500,500,500
feeling,upos,NOUN,500,500,500,500
feeling,xpos,NN,500,500,500,500
feeling,xpos,NNS,499,497,500,496
for,upos,ADP,500,500,500,500
for,upos,SCONJ,500,500,500,497
for,upos,NOUN,242,325,333,333
for,xpos,IN,500,500,500,500
for,xpos,NN,242,325,333,333
nothing,upos,PRON,500,500,500,500
nothing,upos,NOUN,468,459,478,468
nothing,xpos,NN,500,500,500,500
nothing,xpos,NNS,468,459,478,468
will,upos,AUX,500,500,500,500
will,upos,NOUN,494,497,500,494
will,upos,VERB,415,424,444,448
will,xpos,MD,500,500,500,500
will,xpos,NN,494,497,500,494
will,xpos,VBN,415,424,444,448
sit,upos,VERB,500,500,500,500
sit,upos,NOUN,45,199,168,178
sit,xpos,VB,500,500,500,500
sit,xpos,VBP,486,492,494,487
sit,xpos,VBG,485,473,488,483
sit,xpos,VBD,418,424,447,450
sit,xpos,VBZ,369,402,404,426
sit,xpos,NN,45,199,168,178
here,upos,ADV,500,500,500,500
here,upos,VERB,376,411,419,436
here,upos,NOUN,303,375,376,389
here,xpos,RB,500,500,500,500
here,xpos,VB,376,411,419,436
here,xpos,NN,303,375,376,389
here,xpos,VBZ,269,343,351,355
long,upos,ADV,500,500,500,500
long,upos,ADJ,500,500,500,498
long,upos,INTJ,484,473,487,482
long,upos,VERB,419,424,448,451
long,xpos,RB,500,500,500,500
long,xpos,JJ,500,500,500,498
long,xpos,UH,484,473,487,482
long,xpos,VBG,419,424,448,451
long,xpos,VBZ,88,227,199,213
as,upos,SCONJ,500,500,500,500
as,upos,ADV,500,500,500,500
as,upos,ADP,500,499,500,496
as,xpos,IN,500,500,500,500
as,xpos,RB,500,500,500,500
take,upos,VERB,500,500,500,500
take,upos,NOUN,413,423,444,447
take,xpos,VBZ,500,500,500,500
take,xpos,VB,500,500,500,498
take,xpos,VBD,499,497,500,496
take,xpos,VBP,486,487,491,487
take,xpos,VBN,485,481,488,486
take,xpos,VBG,476,463,480,473
take,xpos,NN,413,423,444,447
get,upos,VERB,500,500,500,500
get,upos,AUX,496,497,500,494
get,upos,NOUN,138,265,241,254
get,xpos,VB,500,500,500,500
get,xpos,VBP,500,500,500,500
get,xpos,VBD,500,500,500,499
get,xpos,VBN,499,497,500,496
get,xpos,VBZ,492,495,499,492
get,xpos,VBG,489,494,495,487
get,xpos,MD,479,465,483,480
get,xpos,NNS,138,265,241,254
get,xpos,NN,21,172,147,162
alone,upos,ADV,500,500,500,500
alone,upos,ADJ,488,494,495,487
alone,xpos,RB,500,500,500,500
alone,xpos,JJ,488,494,495,487
but,upos,CCONJ,500,500,500,500
but,upos,ADP,0,78,58,53
but,xpos,CC,500,500,500,500
but,xpos,IN,0,78,58,53
soon,upos,ADV,500,500,500,500
soon,upos,ADJ,11,154,129,152
soon,xpos,RB,500,500,500,500
soon,xpos,JJ,11,154,129,152
come,upos,VERB,500,500,500,500
come,upos,NOUN,164,277,255,262
come,xpos,VBP,500,500,500,500
come,xpos,VB,500,500,500,498
come,xpos,VBZ,498,497,500,496
come,xpos,VBD,498,497,500,495
come,xpos,VBG,485,482,490,487
come,xpos,VBN,485,482,490,487
come,xpos,NN,164,277,255,262
walk,upos,VERB,500,500,500,500
walk,upos,NOUN,400,419,422,445
walk,xpos,VBG,500,500,500,500
walk,xpos,VBD,492,495,498,492
walk,xpos,VBN,485,474,488,486
walk,xpos,VB,485,473,488,483
walk,xpos,VBP,481,467,484,481
walk,xpos,VBZ,419,424,448,451
walk,xpos,NN,400,419,422,445
hear,upos,VERB,500,500,500,500
hear,upos,NOUN,490,495,498,492
hear,xpos,VB,500,500,500,500
hear,xpos,VBD,494,497,500,494
hear,xpos,NN,490,495,498,492
hear,xpos,VBP,486,491,494,487
hear,xpos,VBN,479,465,483,477
hear,xpos,VBZ,478,464,483,477
hear,xpos,VBG,312,376,378,397
say,upos,VERB,500,500,500,500
say,upos,NOUN,0,48,26,12
say,xpos,VB,500,500,500,500
say,xpos,VBP,500,499,500,496
say,xpos,VBD,499,499,500,496
say,xpos,VBZ,491,495,498,492
say,xpos,VBN,485,485,490,487
say,xpos,VBG,478,464,482,477
say,xpos,NN,0,48,26,12
chill,upos,NOUN,500,500,500,500
chill,upos,VERB,485,473,488,485
chill,xpos,NNS,500,500,500,500
chill,xpos,VBG,485,473,488,485
chill,xpos,NN,456,452,470,464
chill,xpos,VBD,0,133,108,114
whenever,upos,ADV,500,500,500,500
whenever,xpos,WRB,500,500,500,500
see,upos,VERB,500,500,500,500
see,upos,NOUN,27,178,151,165
see,xpos,VBP,500,500,500,500
see,xpos,VB,500,500,500,499
see,xpos,VBD,493,497,499,494
see,xpos,VBN,490,495,498,492
see,xpos,VBZ,478,464,483,477
see,xpos,VBG,378,411,419,436
see,xpos,NN,27,178,151,165
in,upos,ADP,500,500,500,500
in,upos,ADV,485,486,491,487
in,upos,SCONJ,475,462,480,470
in,upos,NOUN,0,40,22,11
in,xpos,IN,500,500,500,500
in,xpos,RP,500,500,500,498
in,xpos,RB,485,486,491,487
in,xpos,NN,0,40,22,11
place,upos,NOUN,500,500,500,500
place,upos,VERB,428,425,459,453
place,xpos,NN,500,500,500,500
place,xpos,NNS,485,482,488,486
place,xpos,VB,428,425,459,453
place,xpos,VBN,386,413,420,442
place,xpos,VBP,354,396,396,416
like,upos,SCONJ,500,500,500,500
like,upos,ADP,500,500,500,500
like,upos,VERB,500,500,500,497
like,upos,INTJ,500,500,500,497
like,upos,ADJ,297,365,364,378
like,xpos,IN,500,500,500,500
like,xpos,VBP,500,500,500,497
like,xpos,VB,500,500,500,497
like,xpos,UH,500,500,500,497
like,xpos,VBD,485,486,491,487
like,xpos,VBZ,428,425,460,453
like,xpos,JJ,297,365,364,378
like,xpos,VBN,10,153,128,152
a,upos,DET,500,500,500,500
a,upos,NOUN,497,497,500,495
a,upos,X,489,494,497,490
a,upos,PROPN,379,412,419,437
a,upos,SYM,143,268,250,254
a,xpos,DT,500,500,500,500
a,xpos,NN,497,497,500,495
a,xpos,FW,489,494,497,490
a,xpos,GW,426,425,450,453
a,xpos,NNP,379,412,419,437
a,xpos,LS,260,334,348,349
a,xpos,SYM,143,268,250,254
movie,upos,NOUN,500,500,500,500
movie,xpos,NN,500,500,500,500
movie,xpos,NNS,433,425,460,454
Oowee,upos,PROPN,500,500,500,500
Oowee,xpos,NNP,500,500,500,500
waterfall,upos,NOUN,500,500,500,500
waterfall,xpos,NNS,500,500,500,500
waterfall,xpos,NN,0,73,50,43
hair,upos,NOUN,500,500,500,500
hair,upos,VERB,190,294,285,289
hair,xpos,NN,500,500,500,500
hair,xpos,VBN,190,294,285,289
fall,upos,VERB,500,500,500,500
fall,upos,NOUN,485,485,491,487
fall,xpos,VBZ,500,500,500,500
fall,xpos,VB,499,497,500,496
fall,xpos,VBG,492,495,499,492
fall,xpos,VBP,489,494,496,488
fall,xpos,NN,485,485,491,487
fall,xpos,VBD,485,484,490,487
fall,xpos,VBN,408,422,444,446
down,upos,ADP,500,500,500,500
down,upos,ADV,500,500,500,497
down,upos,VERB,481,467,484,481
down,upos,NOUN,17,170,146,161
down,upos,PROPN,0,117,82,75
down,xpos,RP,500,500,500,500
down,xpos,RB,500,500,500,497
down,xpos,IN,485,473,488,486
down,xpos,VB,481,467,484,481
down,xpos,NN,17,170,146,161
down,xpos,NNP,0,117,82,75
can,upos,AUX,500,500,500,500
can,upos,PROPN,408,422,444,446
can,upos,NOUN,267,340,350,352
can,xpos,MD,500,500,500,500
can,xpos,NNP,408,422,444,446
can,xpos,NN,267,340,350,352
taste,upos,NOUN,500,500,500,500
taste,upos,VERB,488,494,495,487
taste,xpos,NN,500,500,500,500
taste,xpos,VBZ,488,494,495,487
taste,xpos,VB,486,490,494,487
taste,xpos,VBN,301,371,370,385
taste,xpos,VBP,288,363,358,369
taste,xpos,NNS,0,72,50,43
no,upos,DET,500,500,500,500
no,upos,ADV,500,499,500,496
no,upos,INTJ,499,499,500,496
no,xpos,DT,500,500,500,500
no,xpos,RB,500,499,500,496
no,xpos,UH,499,499,500,496
need,upos,NOUN,500,500,500,500
need,upos,VERB,500,500,500,500
need,upos,AUX,0,60,34,35
need,xpos,NN,500,500,500,500
need,xpos,VB,500,500,500,500
need,xpos,VBP,499,497,500,496
need,xpos,VBD,498,497,500,495
need,xpos,VBG,489,494,495,487
need,xpos,VBZ,485,482,488,486
need,xpos,NNS,460,453,472,466
need,xpos,VBN,275,345,352,358
creep,upos,VERB,500,500,500,500
creep,upos,NOUN,0,85,65,55
creep,xpos,VB,500,500,500,500
creep,xpos,VBG,433,432,464,455
creep,xpos,VBP,315,382,386,399
creep,xpos,VBD,157,277,254,260
creep,xpos,VBZ,5,150,127,148
creep,xpos,NN,0,85,65,55
cause,upos,SCONJ,500,500,500,500
cause,upos,VERB,500,499,500,496
cause,upos,ADP,500,499,500,496
cause,upos,NOUN,499,499,500,496
cause,upos,ADV,427,425,458,453
cause,upos,ADJ,276,346,352,359
cause,upos,PUNCT,226,318,316,320
cause,xpos,IN,500,500,500,500
cause,xpos,VB,500,499,500,496
cause,xpos,NN,499,499,500,496
cause,xpos,VBP,499,499,500,496
cause,xpos,VBN,461,454,472,466
cause,xpos,RB,427,425,458,453
cause,xpos,JJ,276,346,352,359
cause,xpos,.,226,318,316,320
cause,xpos,VBG,179,285,279,275
aint,upos,AUX,500,500,500,500
aint,upos,VERB,496,497,500,494
aint,upos,INTJ,492,495,499,493
aint,upos,PART,428,425,460,453
aint,upos,PUNCT,303,375,376,387
aint,upos,ADP,214,312,301,308
aint,upos,PRON,127,256,233,247
aint,upos,ADV,50,200,171,181
aint,xpos,VBP,500,500,500,500
aint,xpos,VBZ,500,500,500,497
aint,xpos,VB,492,495,499,493
aint,xpos,UH,492,495,499,493
aint,xpos,TO,428,425,460,453
aint,xpos,.,303,375,376,387
aint,xpos,IN,214,312,301,308
aint,xpos,PRP,127,256,233,247
aint,xpos,RB,50,200,171,181
aint,xpos,MD,17,170,146,161
ashamed,upos,ADJ,500,500,500,500
ashamed,xpos,JJ,500,500,500,500
name,upos,NOUN,500,500,500,500
name,upos,VERB,498,497,500,496
name,xpos,NN,500,500,500,500
name,xpos,VBN,498,497,500,496
name,xpos,NNS,461,456,474,466
name,xpos,VB,451,445,468,462
even,upos,ADV,500,500,500,500
even,xpos,RB,500,500,500,500
minute,upos,NOUN,500,500,500,500
minute,xpos,NN,500,500,500,500
minute,xpos,NNS,62,210,176,193
first,upos,ADJ,500,500,500,500
first,upos,ADV,500,500,500,497
first,upos,NOUN,94,228,202,217
first,xpos,JJ,500,500,500,500
first,xpos,RB,500,500,500,497
first,xpos,RBS,486,492,494,487
first,xpos,NN,94,228,202,217
time,upos,NOUN,500,500,500,500
time,xpos,NN,500,500,500,500
time,xpos,NNS,499,497,500,496
every,upos,DET,500,500,500,500
every,xpos,DT,500,500,500,500
together,upos,ADV,500,500,500,500
together,xpos,RB,500,500,500,500
loving,upos,ADJ,500,500,500,500
loving,upos,NOUN,475,462,480,470
loving,xpos,JJ,500,500,500,500
loving,xpos,NN,475,462,480,470
better,upos,ADJ,500,500,500,500
better,upos,ADV,492,497,499,494
better,xpos,JJR,500,500,500,500
better,xpos,RBR,492,497,499,494
than,upos,SCONJ,500,500,500,500
than,upos,ADP,496,497,500,494
than,xpos,IN,500,500,500,500
anything,upos,PRON,500,500,500,500
anything,xpos,NN,500,500,500,500
heart,upos,NOUN,500,500,500,500
heart,upos,VERB,419,424,448,451
heart,xpos,NN,500,500,500,500
heart,xpos,NNS,497,497,500,494
heart,xpos,VB,419,424,448,451
heart,xpos,VBZ,37,192,160,170
ring,upos,NOUN,500,500,500,500
ring,upos,VERB,451,445,469,462
ring,xpos,NN,500,500,500,500
ring,xpos,NNS,489,494,495,488
ring,xpos,VBD,451,445,469,462
ring,xpos,VB,103,238,213,229
ring,xpos,VBP,0,129,100,106
promise,upos,VERB,500,500,500,500
promise,upos,NOUN,492,495,499,493
