word,relaxed,angry,happy,sad
victoria,2,1,1,2
secret,14,19,5,15
alright,29,42,28,17
tonight,143,79,62,70
perfume,5,2,2,2
spray,5,3,1,1
air,36,24,11,27
next,46,11,4,23
finna,2,1,1,1
raise,11,6,2,4
temp,2,1,1,1
room,22,14,7,33
rub,3,7,1,2
touch,80,49,79,38
care,69,51,50,43
stop,34,126,64,57
repay,2,1,2,1
week,8,4,2,7
workin,2,7,1,3
nine,9,6,4,2
five,16,9,6,6
stayin,3,5,1,1
cute,2,2,3,3
everytime,5,1,22,1
touchin,5,3,2,1
mornin,14,1,1,6
wanna,12,5,5,2
leg,6,5,1,19
till,62,39,42,33
eye,149,154,107,123
roll,38,19,13,25
try,86,139,124,111
ma,16,1,14,10
turn,103,176,63,117
war,61,535,6,25
soldier,5,14,2,8
starin,2,2,1,2
irreplaceable,2,1,7,1
beauty,4,2,9,2
neck,7,17,1,4
breathe,18,36,8,11
sense,4,19,9,17
wake,37,40,10,43
finish,7,1,1,3
round,39,33,9,44
two,58,48,48,38
matter,36,73,49,24
fact,8,15,3,10
closer,22,18,8,6
three,20,23,8,7
shawty,7,20,3,3
sweetest,14,4,16,3
dream,352,80,132,70
angel,161,19,30,35
wonderful,49,11,15,8
thanks,8,3,4,4
bless,118,6,11,2
fly,93,35,22,27
drift,7,3,2,4
heaven,124,36,87,29
watch,55,68,12,65
sunlight,5,3,6,1
peak,2,1,2,1
horizon,10,7,2,1
ooh,121,137,174,61
sun,294,74,67,27
shinin,3,1,4,7
mo,3,2,4,1
send,29,68,24,42
world,244,229,179,95
everybody,22,37,61,41
ay,31,8,3,27
ragga,1,3,1,1
ha,11,28,5,35
fi,19,4,6,1
dread,1,7,1,2
rasta,2,15,2,1
dreadlock,1,8,1,1
divine,5,4,12,6
conception,1,5,1,1
well,79,121,159,105
life,211,267,462,111
livity,1,2,1,1
father,28,9,25,6
history,6,15,2,1
uphold,1,4,13,1
anciency,1,2,1,1
prophecy,1,2,1,1
trust,13,18,23,6
power,5,47,107,37
trinity,1,2,1,2
majesty,16,6,6,3
yes,73,125,58,73
lineage,1,2,1,1
divinity,1,2,2,1
step,19,24,7,13
serenity,1,2,1,4
self,6,23,6,18
true,93,51,132,31
royalty,1,3,1,1
afraid,3,110,10,16
jah,1,33,5,3
burn,45,500,17,85
fire,45,1042,28,40
reign,21,14,23,4
heat,5,11,7,17
water,25,18,10,10
lift,14,4,28,4
higher,7,83,34,6
clap,1,1,3,2
yall,4,18,9,5
judgement,2,7,4,1
standin,6,4,2,2
front,6,8,4,9
line,28,29,13,20
lord,146,109,84,38
ask,35,66,44,26
spend,34,21,28,28
3,15,4,6,3
destruction,2,12,2,7
poverty,1,1,2,1
home,1026,93,50,123
comin,59,31,15,12
eternity,4,2,10,2
break,31,119,80,117
amistad,1,1,7,2
could,208,163,365,177
hold,120,142,146,90
lose,43,194,105,117
fortune,2,6,4,10
homeless,1,1,2,1
street,31,25,17,46
sleepin,2,1,3,1
grand,3,3,3,3
central,1,2,2,1
station,2,2,2,2
year,75,44,59,38
pass,25,17,16,9
stay,63,54,87,60
young,24,32,45,17
old,77,61,62,42
babe,22,16,50,17
die,34,138,36,94
cry,58,90,75,63
earth,107,20,15,15
mean,55,72,69,62
people,74,110,192,61
seri,1,4,1,1
serani,1,3,1,1
everywhere,24,35,36,15
find,175,114,204,162
hypocrite,1,3,1,1
badmind,1,3,1,1
envy,2,3,1,1
backstabber,1,3,1,1
parasite,1,3,1,2
somebody,38,76,52,56
study,1,46,3,2
dem,12,15,2,1
bere,1,9,1,1
evil,22,95,8,5
de,29,73,8,768
feeble,1,9,1,1
fight,36,467,24,60
pause,2,6,1,1
fightin,1,11,2,1
atmosphere,1,2,2,2
catch,12,27,6,110
righteous,1,4,4,2
beware,1,8,1,1
chit,1,2,1,1
chat,2,3,1,1
clear,19,16,19,8
envious,1,2,1,1
flare,1,3,1,1
help,35,56,33,43
fear,22,122,29,18
another,75,75,54,81
choose,8,23,11,4
ripper,1,2,1,1
fassy,1,2,1,1
plan,7,18,16,16
battle,2,50,3,9
almighty,1,2,13,1
mi,19,11,6,314
conscience,1,8,1,1
free,122,57,108,109
wrong,42,71,59,49
music,61,37,45,17
write,37,11,20,22
sing,131,61,178,54
song,90,41,101,25
remember,29,37,43,27
genuine,1,2,1,1
fake,3,20,1,16
judge,2,5,1,9
embrace,9,9,5,2
disgrace,1,3,2,1
habit,3,3,1,4
separate,2,4,6,3
moan,5,3,2,4
feed,4,19,4,23
bone,16,19,3,16
grow,46,44,36,36
command,2,4,2,3
nobody,62,45,73,73
show,65,77,70,53
morning,58,61,71,35
rest,24,13,7,12
evening,14,6,11,4
debt,2,9,2,1
left,4,11,1,2
adore,7,4,19,5
must,59,67,46,46
speak,34,40,24,30
word,108,42,61,57
grace,13,16,14,6
spellwork,5,5,1,1
delight,16,4,1,1
desire,15,92,28,4
save,41,49,32,23
soul,70,54,78,45
yesterday,5,7,7,5
hurt,18,136,62,50
worse,4,7,7,5
align,2,2,1,1
ready,21,55,27,19
waste,19,25,5,114
limb,2,15,1,2
pore,2,2,1,1
wide,14,14,9,4
open,42,36,54,35
bleed,5,14,3,14
potion,2,2,1,2
lie,42,183,41,91
serve,3,5,11,6
bring,163,87,90,56
game,15,53,57,8
lonely,39,31,25,485
cold,26,86,25,56
start,32,113,63,62
quiver,1,3,3,1
keep,216,115,223,106
push,15,37,16,18
aside,5,5,12,1
think,227,179,249,164
realize,22,9,21,16
seem,70,43,59,52
buy,10,13,31,6
fit,14,11,6,10
glove,1,4,2,3
tight,34,25,16,14
forget,31,41,43,46
mine,58,37,81,37
leave,132,118,115,138
menace,2,1,1,1
society,2,2,2,2
hahaha,3,1,1,1
biggin,2,1,1,1
di,3,3,5,15
ghetto,3,2,1,1
lady,21,8,39,8
bruk,2,1,1,1
gwan,2,1,1,1
along,35,15,13,33
gimme,27,6,14,17
gyal,25,1,3,1
wickedest,8,1,1,1
slam,17,6,3,4
kinda,12,3,14,5
woh,10,6,4,13
waan,9,1,1,1
medal,8,1,1,3
haffi,11,1,1,1
ghet,26,1,1,1
pedal,3,3,2,1
wheel,4,12,9,13
banana,3,1,1,1
peel,3,1,2,3
maxfield,3,1,1,1
girlfriend,4,5,4,2
nah,8,8,1,3
weh,3,1,2,1
whole,40,34,44,28
heap,3,1,1,1
hide,18,72,21,43
junglist,3,1,1,1
pon,4,3,1,1
side,36,42,43,23
wife,6,11,6,5
bow,8,9,12,103
inna,2,17,1,1
nuh,2,5,3,1
wrinkle,2,1,1,1
screw,2,6,1,5
seaview,2,1,1,1
run,67,152,58,105
uptown,11,3,1,2
brown,7,2,1,2
pretty,49,43,59,94
pearl,6,1,2,4
mama,45,16,7,5
earl,2,1,1,1
unuh,2,1,1,1
proud,12,2,13,4
although,5,5,9,4
might,40,46,45,29
loud,4,20,12,15
road,47,16,5,26
move,45,83,40,61
crowd,3,2,5,4
pastor,1,3,2,1
church,5,1,3,3
folk,10,2,5,9
friend,73,96,94,25
listen,34,28,34,16
god,122,140,533,26
mercy,8,12,14,7
favor,3,14,3,7
deserve,7,18,9,6
testimony,1,2,3,1
hour,4,13,8,11
sinner,1,3,5,11
floor,11,48,10,20
second,17,13,17,13
chance,20,45,90,26
rescue,6,5,25,2
enemy,5,20,5,7
bottom,5,2,20,26
top,10,46,11,6
lend,1,1,3,3
overcome,3,7,3,1
use,62,61,47,35
paralyze,1,3,2,1
test,1,16,13,2
best,27,38,47,12
gonna,20,6,27,9
ye,1,7,7,4
ah,41,55,73,39
buhbuh,3,1,1,1
buh,7,1,1,1
school,11,4,7,21
learn,27,35,24,17
e,7,8,30,36
except,6,7,1,6
c,21,3,6,9
plus,2,5,2,3
four,15,13,8,8
teach,29,16,5,10
seat,7,1,1,17
repeat,20,4,8,23
b,14,13,7,15
easy,197,58,16,38
1,18,9,8,2
2,25,7,4,8
simple,20,9,22,5
doremi,3,1,1,1
little,238,157,124,134
bit,5,9,10,9
reading,2,1,1,1
writing,4,2,1,3
arithmetic,2,1,1,1
branch,4,2,1,1
learning,2,1,1,1
tree,66,33,7,27
root,3,6,3,1
education,3,2,1,1
complete,6,9,13,11
tt,2,1,1,1
teacher,25,1,2,4
nyah,5,1,1,1
spell,7,6,12,5
add,2,11,2,1
re,5,1,1,1
count,24,22,12,8
melody,29,5,12,1
shake,58,32,36,52
ooo,7,3,7,4
huh,8,4,27,15
darkness,12,25,19,28
shine,63,30,51,11
meet,39,13,40,25
paradise,61,19,14,7
boy,52,92,92,112
wonder,53,21,56,39
treasure,5,3,12,2
steal,8,21,5,16
lay,36,43,27,21
close,36,31,37,30
tenderness,4,1,8,1
sweet,142,65,41,40
caress,1,4,6,1
reach,26,33,21,15
fantasy,86,2,5,3
beat,18,38,29,17
ecstasy,5,2,2,1
warm,22,14,23,12
shadow,17,19,2,11
gray,2,2,3,9
arm,63,22,45,56
rain,67,41,30,78
prayin,2,3,3,3
flyin,3,4,3,1
high,91,34,21,28
deny,3,18,5,9
money,49,31,123,8
dreamin,17,5,5,3
smile,51,39,54,43
worthwhile,1,3,4,1
slightest,3,2,3,2
storm,24,15,11,6
rise,42,59,16,17
wind,32,15,9,20
blow,18,30,15,28
worry,19,3,18,20
new,102,70,85,52
treat,25,13,37,6
tenderly,1,1,9,2
darl,6,6,24,9
heavenly,34,35,8,11
hug,1,8,11,2
squeeze,2,1,9,2
tease,1,1,12,1
mess,9,7,2,10
dirty,2,9,7,178
hell,22,65,4,36
preacher,2,3,2,3
preach,4,2,1,2
confess,3,1,11,3
sin,44,49,8,300
repent,1,1,1,4
jesus,36,25,49,3
weary,5,2,1,7
wear,13,13,21,16
sad,33,36,16,150
glad,33,3,46,10
forgive,3,9,10,8
question,5,10,15,7
inside,40,124,70,90
may,39,67,48,31
discourage,1,1,2,2
throw,10,29,27,46
towel,2,1,1,4
glory,41,21,100,7
honor,1,7,6,1
dominion,1,1,2,1
forever,26,31,162,19
omnipotent,1,1,2,1
reineth,1,1,2,1
greater,8,11,35,4
sovereign,1,1,2,1
great,17,7,24,11
worthy,3,3,7,1
stand,59,123,72,34
reverence,1,3,2,1
presence,3,3,4,3
jehovah,1,1,3,2
lover,57,22,35,15
near,32,24,46,10
star,53,28,67,20
dark,26,43,9,47
sky,167,48,43,34
explain,5,12,14,6
happen,11,17,23,15
suddenly,3,4,3,1
battlefield,2,29,1,1
smallest,1,2,1,1
tear,32,62,40,68
shield,2,11,1,2
tie,5,18,2,18
behind,41,24,13,46
climb,7,4,10,5
fast,23,18,7,19
swallow,3,10,4,6
pride,12,21,21,10
neither,1,6,1,3
flag,2,5,2,6
surrender,16,6,9,1
guess,21,20,23,26
armor,1,10,2,1
pretend,8,21,14,11
ohh,14,10,36,8
fair,8,6,6,3
cherry,11,10,1,1
bomb,8,77,1,10
ago,3,5,14,7
spirit,17,15,24,7
bar,4,7,4,8
brush,1,3,1,2
tooth,5,8,1,5
sleeve,4,7,3,1
longest,1,3,1,3
drive,19,52,17,18
dressing,1,2,1,1
gow,2,2,1,1
pay,20,44,13,17
calling,8,1,1,5
heavy,10,13,3,5
weight,6,8,4,6
mmmmmm,2,2,1,1
peace,118,32,7,17
surpass,2,2,1,1
understanding,4,5,2,2
supass,2,1,1,1
4,3,2,12,4
minwordserror,21,13,13,9
maxwordserror,21,13,13,9
cheeeek,21,13,13,9
sayin,11,4,7,4
playa,2,5,1,2
number,5,12,2,10
dial,3,1,1,2
sex,7,3,85,3
gettin,8,23,8,8
straight,14,9,8,7
crib,7,1,1,1
whip,5,8,2,3
shakin,8,2,1,3
chick,13,27,2,3
knee,25,24,24,23
lovin,15,24,41,4
wifin,2,1,1,1
spendin,2,1,1,1
committed,2,1,1,1
damn,17,12,5,21
hat,6,2,4,3
nigga,3,7,3,52
gotta,5,1,3,1
truth,51,39,28,12
nothin,27,8,5,6
said,15,16,22,6
wave,2,6,2,13
goodbye,16,12,33,19
forgetful,1,1,1,2
backwards,3,7,1,4
parade,1,3,1,2
stuck,2,5,1,3
block,3,2,2,11
shade,14,2,3,2
sweep,1,3,1,7
dress,10,15,1,11
pillow,11,1,2,10
flowers,7,1,1,3
sick,10,16,8,173
dead,7,111,7,97
slow,37,52,4,185
stone,24,7,5,18
hospital,3,7,1,3
funeral,1,8,1,19
fog,2,1,1,2
sigh,16,4,7,4
disguise,8,7,5,5
anymore,5,37,21,14
piece,7,17,6,45
puzzle,1,1,1,2
tide,1,6,4,4
sink,10,6,2,10
blink,3,2,1,4
many,16,40,35,37
everyone,18,32,20,16
door,55,37,37,34
someone,51,72,154,75
chorus,16,21,29,27
unconditional,1,2,2,1
vamp,3,1,3,1
lovely,17,8,10,8
appealing,1,1,2,1
steppin,1,1,18,1
dancin,2,2,5,2
begin,26,35,24,23
romancin,1,1,2,1
thrilling,1,1,2,1
willing,1,3,4,2
dance,35,107,51,32
increase,1,5,5,1
romance,5,1,9,7
stronger,5,14,34,3
longer,5,9,9,3
small,2,7,7,9
whoa,9,49,70,20
hole,6,4,2,24
dig,11,13,9,15
beggin,1,3,5,2
losin,1,1,6,3
everbody,1,1,1,2
talk,44,29,34,49
crawlin,2,1,1,2
mud,3,5,4,2
pig,26,3,1,3
nowhere,10,32,8,32
lot,28,22,29,16
misery,1,19,3,11
blood,18,45,24,51
low,13,18,13,38
greed,1,8,2,4
oooooh,1,7,1,1
threat,1,11,1,1
ning,1,5,1,1
shelter,3,7,4,2
fade,12,28,9,23
child,74,50,31,17
shot,3,60,3,12
sweeping,1,3,1,2
red,20,35,8,25
coal,1,7,1,2
carpet,2,3,1,2
mad,16,31,6,13
bull,3,4,1,1
rape,2,39,1,1
murder,3,22,2,14
mmm,23,6,16,4
flood,10,7,2,3
sister,10,8,10,6
dollar,6,6,14,4
past,12,21,11,17
sunset,20,4,5,1
pants,1,1,3,4
happy,137,95,244,14
candy,66,2,4,5
stranger,15,15,25,10
papa,3,4,3,9
boss,1,9,2,2
flash,5,2,2,3
cocktail,1,1,2,1
flesh,5,11,8,5
lear,2,1,2,1
jets,1,1,2,1
last,75,58,39,66
detroit,5,1,1,1
cottonfield,2,1,1,1
mother,45,38,36,13
dear,28,22,19,41
brother,36,18,13,11
homefolks,2,1,1,1
letter,14,2,9,13
fine,36,14,21,16
car,15,7,8,16
read,23,13,14,14
ride,38,43,19,39
freight,6,2,1,1
train,14,15,3,16
north,4,4,1,6
wastin,2,3,1,1
foolish,11,2,7,4
southbound,2,2,1,1
waitin,5,6,5,2
far,101,50,39,62
reason,27,42,25,24
goin,91,32,5,20
though,36,28,60,33
ought,20,1,9,6
evry,9,5,1,3
makin,8,12,29,4
sittin,4,2,1,7
athinkin,3,1,1,1
missin,3,3,1,1
hurtin,2,5,5,2
drinkin,5,2,3,2
hard,63,69,88,51
knowin,4,1,2,1
hatin,3,1,1,6
yo,27,36,13,276
se,3,17,3,209
bien,5,1,2,32
que,61,67,2,1167
estoy,3,4,3,72
afuera,1,1,1,12
pero,18,4,3,128
el,35,26,1,571
día,2,1,1,51
muera,1,1,1,9
tendry,1,1,1,4
llorar,2,1,1,36
dirp,1,1,1,4
quisiste,1,1,1,7
vas,1,7,1,36
estar,2,1,1,43
muy,1,1,1,36
triste,1,3,1,20
y,43,46,16,773
así,1,1,1,78
quedar,1,1,1,10
con,17,17,3,198
dinero,1,1,1,27
hago,1,1,1,14
siempre,8,4,1,71
lo,11,8,1,191
quiero,12,5,2,120
palabra,3,1,1,17
es,24,21,4,379
la,82,68,72,603
ley,1,1,1,12
tengo,2,4,1,48
trono,1,1,1,11
ni,5,4,2,124
reyna,1,1,1,3
nadie,2,4,1,84
comprenca,1,1,1,3
sigo,2,1,1,34
siendo,1,1,1,14
rey,1,1,1,20
enseñó,1,1,1,4
destino,3,3,1,14
era,1,3,1,26
rodar,1,1,1,18
despues,1,1,1,3
dijo,1,1,1,7
un,3,23,6,304
arriero,1,1,1,6
hay,8,14,1,133
llegar,1,2,1,19
primero,1,1,1,13
saber,4,4,1,25
vibration,21,1,1,1
follow,12,31,7,16
rhythm,13,14,3,3
voice,21,22,8,21
emotion,5,4,15,4
fulfill,6,1,3,2
butterfly,19,12,2,1
sensation,3,1,1,2
x,8,2,3,5
quarter,3,10,1,1
bang,3,28,1,113
key,26,6,9,6
alive,8,54,40,20
drank,3,1,1,10
cash,4,12,5,3
fix,4,8,15,15
mustard,2,1,2,1
ham,2,2,1,2
crash,2,25,2,12
bathroom,2,1,1,4
trailer,2,1,1,1
sunday,12,5,5,1
boot,4,5,4,1
nose,2,1,3,7
trail,3,2,1,5
surprise,6,6,5,4
pleasure,6,12,13,4
roast,2,1,1,1
win,56,62,47,7
fisticuff,1,1,1,3
head,120,96,30,76
cut,6,24,4,73
statistic,1,2,1,2
collect,1,1,1,2
hunger,2,4,6,3
wall,22,24,7,22
float,5,3,3,11
fault,3,24,1,44
bury,1,20,1,13
killer,3,63,1,9
kill,9,75,18,42
fate,9,25,9,14
cloud,44,19,6,13
dust,4,19,1,8
phantom,3,1,1,2
naturally,2,1,1,1
collapse,2,1,1,4
wedding,3,2,1,1
oooohooohoohoooohoohoohoooo,1,1,2,1
nohoo,1,1,2,1
brigde,1,1,2,1
baheeyby,1,1,2,1
hoow,1,1,2,1
lohohooove,1,1,2,1
primising,1,1,2,1
ohooow,1,1,3,1
eheeey,1,1,2,1
woooh,1,2,2,1
saiaiaiad,1,1,2,1
yeaheeeey,1,1,2,1
sung,1,2,4,2
broken,10,62,24,37
isolated,1,3,1,1
raid,1,6,1,1
bigger,1,6,3,1
cadillac,1,1,2,12
doubt,11,16,14,15
still,80,119,203,70
brain,6,26,7,24
kind,173,35,44,25
pain,19,352,30,55
blind,18,30,14,147
escape,4,31,3,13
deeper,2,21,2,9
journey,4,2,3,5
reality,18,5,4,3
inner,1,2,1,5
esteem,1,1,1,3
deep,35,31,55,29
ground,14,35,18,30
jonathan,1,1,1,3
davis,1,1,1,3
amp,10,25,28,18
inspect,1,2,1,1
reflect,1,2,3,1
lip,23,25,16,35
mask,1,6,1,3
rip,2,12,1,14
seek,5,19,1,19
ear,4,4,12,5
noise,3,10,3,4
greatest,1,3,5,3
ease,7,21,1,3
rave,1,3,1,1
impossibility,1,2,1,1
engage,2,3,1,1
crime,6,11,3,9
grasp,2,2,1,2
throat,2,6,2,4
enrage,1,2,1,1
smoke,5,35,1,4
enforce,1,3,1,1
mental,1,7,1,1
overload,1,4,1,1
angry,5,23,2,9
story,8,21,18,15
twist,6,17,5,9
fold,1,2,1,1
contortionist,1,2,1,1
slight,1,2,1,1
quick,1,27,3,3
exchange,1,2,2,1
trick,4,5,2,5
rearrange,4,3,1,2
searing,1,2,1,1
sinew,1,2,1,1
tissue,1,2,1,6
lung,3,8,3,1
gravity,1,2,1,2
pull,12,24,9,27
steam,1,35,1,2
finally,15,19,8,13
dissipate,1,2,1,1
sweaty,1,2,1,1
association,1,2,1,1
inevitably,1,2,1,1
govern,1,2,1,1
set,54,77,58,37
fracture,1,5,1,1
jaw,1,3,2,5
cardboard,1,2,1,1
condo,1,2,1,1
maze,1,2,1,7
fill,17,35,47,20
insubordinate,1,2,1,1
race,9,13,5,9
irrational,1,2,1,1
youth,7,28,4,3
stare,9,9,4,14
rubber,1,3,1,1
hose,1,2,1,2
create,4,6,7,2
bolt,1,4,2,2
cage,2,26,2,17
lock,10,13,7,11
hate,23,271,13,77
maybe,48,49,52,31
full,13,36,21,18
scenario,1,4,1,1
stain,3,6,2,4
blurry,1,3,1,2
breed,1,5,2,2
bloody,1,28,1,14
risk,2,9,5,6
insanity,1,3,1,1
venture,1,2,1,1
gain,2,6,2,4
beg,8,15,9,10
helpless,1,5,1,7
rage,5,46,1,5
nightmare,13,59,1,15
drag,5,4,1,5
devil,21,45,4,18
guest,1,3,2,2
acquaintance,1,3,1,1
sever,1,6,1,2
smell,6,6,3,30
ink,4,3,1,2
slave,6,20,3,14
madness,6,11,2,5
haunt,4,11,1,7
yearn,2,11,8,1
trigger,1,10,1,3
price,6,17,5,7
sweat,3,11,4,3
yet,20,17,16,13
demon,2,31,2,1
beyond,23,14,3,18
sight,22,20,8,5
nerve,1,9,2,2
sedate,1,3,1,1
medicate,1,12,1,2
slowly,17,12,8,20
insane,5,40,2,9
intention,2,6,3,2
complication,2,3,1,2
tragic,1,8,2,1
fail,16,19,9,11
drench,1,6,1,1
respect,49,12,1,5
hit,7,76,12,22
crawl,2,14,3,15
replaceable,1,3,1,1
liar,5,20,1,2
choice,8,12,7,2
grant,2,5,3,4
crying,9,18,4,4
store,8,9,9,4
shove,1,3,2,4
slip,7,25,4,11
corner,13,19,2,16
scream,9,96,3,24
empty,5,21,6,19
closet,1,10,1,2
grave,6,12,2,8
eulogy,1,3,1,1
buyer,1,3,1,1
beside,16,15,12,10
barrel,1,6,2,1
gauge,1,3,1,1
forgiveness,1,6,3,2
blessing,1,5,6,3
dirthouse,1,1,1,3
box,8,2,2,6
wander,1,3,1,3
dow,9,21,42,30
skin,9,23,26,11
dirt,2,6,5,22
dog,36,5,2,15
curl,2,2,1,3
ball,2,4,12,10
freezing,2,1,1,2
ass,5,10,5,15
pick,17,31,20,27
scare,1,7,3,5
burnt,1,2,1,2
death,12,82,6,84
final,6,18,2,25
bliss,3,1,7,10
suicide,7,4,1,6
already,8,21,27,29
cyanide,1,1,1,4
shell,1,6,3,5
forevermore,5,2,2,6
patiently,2,3,4,3
wing,16,17,2,15
unfold,3,3,3,3
spread,9,16,8,5
er,14,16,5,2
concrete,2,1,1,7
weeping,1,1,5,2
shed,2,7,2,6
strife,1,4,2,2
freshly,1,1,1,2
upon,38,21,16,29
tube,1,2,1,3
channel,1,6,1,2
twiddle,1,1,1,2
thumb,2,1,2,2
unlocked,1,1,2,2
fuckin,1,4,1,2
lazy,14,3,1,2
bite,4,2,4,8
bored,1,1,1,35
velcro,1,1,1,2
barr,1,1,1,2
indoors,1,2,2,2
summer,16,4,9,10
cell,2,7,1,12
motivation,1,2,1,4
inspiration,1,1,6,2
phone,12,10,4,14
pathetic,1,2,1,2
job,9,9,4,3
masturbation,1,1,1,4
fun,23,19,108,12
loneliness,5,1,3,13
suffice,1,1,1,2
trip,4,5,4,4
quit,1,16,13,4
myth,1,1,1,2
favorite,11,3,3,23
source,2,2,2,2
sore,1,2,2,2
appreciate,1,2,4,1
concern,4,8,1,2
stink,2,3,1,2
disagree,1,4,1,2
travel,10,13,4,3
seven,5,9,10,8
seas,2,9,4,7
abuse,2,16,5,3
movin,14,13,2,1
vain,2,11,3,4
taint,2,2,29,1
anger,2,45,1,1
torment,1,6,1,1
drivin,3,5,1,2
feelin,7,9,26,11
betrayed,1,2,2,2
apart,25,29,24,28
brutal,1,3,1,1
deal,4,19,4,7
mudshovel,1,17,1,1
painful,4,6,2,1
untrue,1,8,7,2
keeping,1,1,2,1
within,9,19,23,3
point,8,13,12,6
quickly,3,4,3,4
toy,4,6,7,6
fist,3,11,5,5
scar,4,19,4,7
tempting,1,1,2,1
gift,27,13,13,5
sometimes,28,41,59,63
sorry,10,18,14,25
regret,9,16,7,12
unhappy,1,3,2,3
thought,32,24,8,11
much,89,92,154,58
suffocating,1,19,1,1
laugh,14,14,15,22
til,13,23,22,8
return,14,23,15,5
chest,1,12,3,5
drop,13,86,5,15
closing,1,3,1,1
wish,50,20,86,86
sarcastic,1,1,1,5
mister,2,1,2,24
bird,208,9,6,50
share,43,17,71,60
viewin,1,1,1,21
kentucky,1,12,1,3
fallin,12,8,43,3
lick,5,6,2,6
health,1,1,1,4
view,6,7,3,16
loss,3,8,1,3
stall,2,3,1,3
southern,13,1,2,3
scarlet,2,1,2,3
drawl,1,1,1,3
bye,32,3,6,7
pa,4,4,1,30
soft,17,7,10,7
outside,8,22,9,16
brawl,1,1,1,3
autumn,1,1,2,4
moon,27,6,16,16
suffocate,1,7,1,1
planting,1,2,1,1
seed,5,2,2,12
trap,2,5,2,3
forsake,4,3,3,1
cheat,3,4,6,3
suffer,4,10,3,9
unto,6,6,2,2
harvester,1,13,1,1
sorrow,11,33,6,12
pure,5,10,9,4
drink,16,18,12,28
shoot,4,27,6,16
beating,1,19,1,1
distributor,1,2,1,1
become,17,36,30,16
prayer,7,15,5,4
invade,2,2,3,2
